product_symbol,price,size,timestamp,buyer_role
P-BTC-58800-030324,239.00000000,1,2024-03-01 06:04:01.643727,maker
P-BTC-58800-030324,226.00000000,10,2024-03-01 06:07:27.580949,maker
P-BTC-58800-030324,80.00000000,11,2024-03-01 12:34:45.778832,taker
C-BTC-65400-040324,424.00000000,100,2024-03-04 08:57:50.928682,maker
P-BTC-65400-040324,604.00000000,100,2024-03-04 08:57:50.930011,maker
C-BTC-66600-040324,72.00000000,100,2024-03-04 09:05:42.043318,maker
C-BTC-65400-040324,5.00000000,10,2024-03-04 11:30:04.938169,maker
P-BTC-65400-040324,362.65172414,100,2024-03-04 12:00:00.057236,taker
P-BTC-64000-050324,511.00000000,100,2024-03-04 12:53:43.424995,taker
P-BTC-65800-050324,853.00000000,100,2024-03-04 14:48:38.578734,maker
P-BTC-64000-050324,255.00000000,100,2024-03-04 14:50:28.707301,maker
C-BTC-66400-050324,830.00000000,150,2024-03-04 16:03:14.988070,maker
P-BTC-65800-050324,626.00000000,100,2024-03-04 16:03:39.163821,taker
C-BTC-67200-060324,1330.00000000,14,2024-03-04 20:03:43.762082,taker
C-BTC-67200-060324,1505.00000000,14,2024-03-04 20:32:35.914856,maker
C-BTC-66400-050324,970.00000000,150,2024-03-04 21:27:39.212694,taker
P-BTC-66800-050324,92.00000000,1000,2024-03-05 04:06:17.916499,maker
P-BTC-66800-050324,409.00000000,453,2024-03-05 04:52:16.887027,taker
P-BTC-66800-050324,563.00000000,324,2024-03-05 05:02:32.593378,taker
P-BTC-66800-050324,1631.00000000,223,2024-03-05 05:03:40.895238,taker
P-BTC-66000-050324,354.00000000,250,2024-03-05 05:09:24.431512,maker
P-BTC-66000-050324,69.00000000,250,2024-03-05 06:37:14.075687,maker
C-BTC-66800-050324,366.00000000,200,2024-03-05 08:57:24.204136,maker
P-BTC-66800-050324,340.00000000,200,2024-03-05 08:57:31.026326,maker
P-BTC-66800-050324,156.81724138,200,2024-03-05 12:00:00.117933,taker
C-BTC-66500-080324,2153.00000000,1,2024-03-05 12:11:11.719836,maker
C-BTC-66500-080324,2270.00000000,1,2024-03-05 12:14:14.492829,taker
C-BTC-67200-060324,1465.00000000,200,2024-03-05 13:22:40.874720,maker
P-BTC-67200-060324,705.00000000,200,2024-03-05 13:22:45.403912,maker
P-BTC-61000-080324,211.00000000,1,2024-03-05 14:24:18.902595,maker
P-BTC-61000-080324,233.00000000,1,2024-03-05 14:24:44.342570,taker
P-BTC-67200-060324,3100.00000000,99,2024-03-05 17:07:50.000945,taker
C-BTC-67200-060324,198.00000000,99,2024-03-05 17:07:50.225929,taker
P-BTC-67200-060324,3182.00000000,50,2024-03-05 17:07:51.990915,taker
C-BTC-67200-060324,185.00000000,50,2024-03-05 17:07:52.044803,taker
P-BTC-67200-060324,3274.00000000,32,2024-03-05 17:08:17.809230,taker
C-BTC-67200-060324,181.00000000,32,2024-03-05 17:08:17.857465,taker
P-BTC-67200-060324,3907.00000000,9,2024-03-05 17:10:34.665965,taker
C-BTC-67200-060324,125.00000000,9,2024-03-05 17:10:34.765884,taker
P-BTC-67200-060324,3407.00000000,10,2024-03-05 18:52:37.681103,taker
C-BTC-67200-060324,112.00000000,10,2024-03-05 18:52:42.303070,taker
P-BTC-52500-080324,37.00000000,1,2024-03-06 05:24:57.653705,taker
P-BTC-64400-090324,507.00000000,1,2024-03-07 08:47:14.998921,maker
C-BTC-68000-080324,767.00000000,300,2024-03-07 17:36:49.163768,taker
C-BTC-68500-080324,345.00000000,500,2024-03-07 19:38:02.598072,maker
C-BTC-67000-080324,789.00000000,1,2024-03-07 22:30:59.597192,taker
C-BTC-67000-080324,794.00000000,1,2024-03-07 22:31:48.059256,taker
C-BTC-67000-080324,764.00000000,120,2024-03-07 22:32:23.879649,taker
C-BTC-67000-080324,785.00000000,65,2024-03-07 22:33:06.931814,taker
C-BTC-67000-080324,742.00000000,20,2024-03-07 22:37:34.339115,maker
C-BTC-67000-080324,705.00000000,30,2024-03-07 22:40:08.352495,taker
C-BTC-67000-080324,638.00000000,197,2024-03-07 22:42:21.809587,maker
P-BTC-66500-080324,355.00000000,170,2024-03-07 22:43:25.707336,taker
P-BTC-66500-080324,366.00000000,40,2024-03-07 22:43:33.892503,taker
P-BTC-66500-080324,360.00000000,18,2024-03-07 22:43:53.047812,taker
P-BTC-66500-080324,314.00000000,228,2024-03-07 23:04:42.631449,maker
C-BTC-68000-080324,107.00000000,300,2024-03-08 02:39:29.890414,maker
C-BTC-68500-080324,76.00000000,500,2024-03-08 02:40:41.551565,taker
C-BTC-68500-080324,110.00000000,40,2024-03-08 04:18:55.283402,taker
C-BTC-68500-080324,47.00000000,40,2024-03-08 05:18:11.084230,maker
C-BTC-66000-080324,1015.00000000,3,2024-03-08 05:19:51.902116,maker
C-BTC-43500-080324,23441.00000000,1,2024-03-08 06:53:56.947842,maker
C-BTC-66000-080324,1591.00000000,1,2024-03-08 06:59:12.313040,taker
C-BTC-66000-080324,1709.00000000,1,2024-03-08 07:00:39.027714,taker
C-BTC-66000-080324,1517.00000000,1,2024-03-08 07:05:32.655649,taker
C-BTC-69000-090324,508.00000000,500,2024-03-08 07:43:17.118328,taker
C-BTC-69000-090324,366.00000000,500,2024-03-08 11:10:08.615663,taker
C-BTC-43500-080324,24006.70000000,1,2024-03-08 12:00:00.193229,taker
C-BTC-70000-100324,309.00000000,150,2024-03-08 13:08:02.798613,maker
C-BTC-70000-100324,337.00000000,150,2024-03-08 13:08:58.168165,taker
P-BTC-64000-090324,73.00000000,500,2024-03-08 13:55:29.174633,taker
P-BTC-63400-090324,65.00000000,500,2024-03-08 13:55:48.997178,maker
C-BTC-68400-090324,832.00000000,10,2024-03-08 14:37:15.223000,taker
C-BTC-68400-090324,839.00000000,10,2024-03-08 14:39:30.198852,maker
C-BTC-68400-090324,828.00000000,10,2024-03-08 14:43:07.174398,taker
C-BTC-69800-090324,400.00000000,250,2024-03-08 14:43:54.052182,maker
C-BTC-68400-090324,897.00000000,10,2024-03-08 14:49:23.051785,maker
C-BTC-68400-090324,959.00000000,10,2024-03-08 14:56:09.023020,taker
C-BTC-68400-090324,871.00000000,10,2024-03-08 14:56:43.371728,maker
C-BTC-68400-090324,1011.00000000,1,2024-03-08 14:58:26.017076,taker
C-BTC-68400-090324,1130.00000000,1,2024-03-08 15:11:00.051942,maker
C-BTC-68400-090324,1141.00000000,1,2024-03-08 15:14:30.840234,maker
C-BTC-68400-090324,1141.00000000,1,2024-03-08 15:16:40.035694,maker
C-BTC-69800-090324,710.00000000,250,2024-03-08 15:26:41.425928,taker
P-BTC-64000-090324,496.00000000,500,2024-03-08 16:12:55.583519,taker
P-BTC-63400-090324,209.00000000,381,2024-03-08 16:12:57.790684,maker
P-BTC-63400-090324,210.00000000,119,2024-03-08 16:12:59.200300,maker
P-BTC-68000-090324,117.00000000,10,2024-03-09 04:57:26.031204,maker
C-BTC-70000-090324,0.10000000,90,2024-03-09 07:21:55.051760,maker
P-BTC-68000-090324,254.30000000,10,2024-03-09 10:09:34.439463,maker
C-BTC-69200-100324,104.00000000,80,2024-03-09 12:27:26.514494,maker
C-BTC-69200-100324,390.58965517,80,2024-03-10 12:00:00.066201,taker
C-BTC-70600-110324,520.00000000,50,2024-03-10 13:25:14.449344,maker
C-BTC-70400-110324,590.00000000,20,2024-03-10 13:26:39.747594,maker
C-BTC-72000-120324,668.00000000,25,2024-03-10 16:54:52.890712,taker
P-BTC-69000-110324,596.00000000,25,2024-03-10 16:54:53.470438,taker
