,high,low,open,close,year,month,day,hour,day_name,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend,7_EMA,15_EMA,50_EMA,200_EMA
2023-01-01,16564.591796875,16529.07421875,16547.9140625,16548.86328125,2023,1,1,0,Sunday,16564.591796875,16529.07421875,35.517578125,-0.94921875,15.728515625,-18.83984375,-18.83984375,16.677734375,UP,16548.86328125,16548.86328125,16548.86328125,16548.86328125
2023-01-01,16554.11328125,16525.9140625,16546.4296875,16536.4765625,2023,1,1,4,Sunday,16554.11328125,16525.9140625,28.19921875,9.953125,7.68359375,-10.5625,-20.515625,7.68359375,DOWN,16545.7666015625,16547.31494140625,16548.377527573528,16548.740030317163
2023-01-01,16557.404296875,16521.234375,16536.546875,16556.072265625,2023,1,1,8,Sunday,16557.404296875,16521.234375,36.169921875,-19.525390625,1.33203125,-15.3125,-15.3125,20.857421875,UP,16548.343017578125,16548.409606933594,16548.67928200692,16548.812987882415
2023-01-01,16568.505859375,16550.87109375,16556.236328125,16559.427734375,2023,1,1,12,Sunday,16568.505859375,16550.87109375,17.634765625,-3.19140625,9.078125,-5.365234375,-5.365234375,12.26953125,UP,16551.114196777344,16549.78687286377,16549.100789942924,16548.918607250504
2023-01-01,16622.14453125,16559.70703125,16559.70703125,16607.916015625,2023,1,1,16,Sunday,16622.14453125,16559.70703125,62.4375,-48.208984375,14.228515625,0.0,0.0,62.4375,UP,16565.314651489258,16557.053015708923,16551.407269381438,16549.505646139805
2023-01-01,16630.439453125,16604.0,16608.708984375,16625.515625,2023,1,1,20,Sunday,16630.439453125,16604.0,26.439453125,-16.806640625,4.923828125,-4.708984375,-4.708984375,21.73046875,UP,16580.364894866943,16565.610841870308,16554.313479405697,16550.26196433742
2023-01-02,16677.0625,16572.228515625,16625.509765625,16675.173828125,2023,1,2,0,Monday,16677.0625,16572.228515625,104.833984375,-49.6640625,1.888671875,-53.28125,-53.28125,51.552734375,UP,16604.067128181458,16579.306215152144,16559.053100924102,16551.50486845471
2023-01-02,16751.025390625,16635.173828125,16673.560546875,16733.3203125,2023,1,2,4,Monday,16751.025390625,16635.173828125,115.8515625,-59.759765625,17.705078125,-38.38671875,-38.38671875,77.46484375,UP,16636.380424261093,16598.557977320626,16565.887109221196,16553.313977350685
2023-01-02,16759.34375,16713.490234375,16730.89453125,16734.787109375,2023,1,2,8,Monday,16759.34375,16713.490234375,45.853515625,-3.892578125,24.556640625,-17.404296875,-17.404296875,28.44921875,UP,16660.98209553957,16615.586618827423,16572.510638638993,16555.1196801569
2023-01-02,16744.224609375,16693.642578125,16735.609375,16739.27734375,2023,1,2,12,Monday,16744.224609375,16693.642578125,50.58203125,-3.66796875,4.947265625,-41.966796875,-41.966796875,8.615234375,UP,16680.555907592177,16631.047959442745,16579.05050942766,16556.952094720014
2023-01-02,16741.48828125,16716.5859375,16738.236328125,16738.470703125,2023,1,2,16,Monday,16741.48828125,16716.5859375,24.90234375,-0.234375,3.017578125,-21.650390625,-21.650390625,3.251953125,UP,16695.034606475383,16644.475802403027,16585.302281729517,16558.758250027528
2023-01-02,16759.111328125,16688.482421875,16738.76953125,16688.482421875,2023,1,2,20,Monday,16759.111328125,16688.482421875,70.62890625,50.287109375,20.341796875,0.0,-50.287109375,20.341796875,DOWN,16693.396560325287,16649.976629837023,16589.348561735223,16560.049037807104
2023-01-03,16707.51171875,16666.916015625,16688.84765625,16696.939453125,2023,1,3,0,Tuesday,16707.51171875,16666.916015625,40.595703125,-8.091796875,10.572265625,-21.931640625,-21.931640625,18.6640625,UP,16694.282283525215,16655.846982748022,16593.56781237796,16561.411131491863
2023-01-03,16760.447265625,16688.775390625,16697.326171875,16733.474609375,2023,1,3,4,Tuesday,16760.447265625,16688.775390625,71.671875,-36.1484375,26.97265625,-8.55078125,-8.55078125,63.12109375,UP,16704.08036498766,16665.550436076395,16599.05435343667,16563.12320589866
2023-01-03,16759.87890625,16714.830078125,16733.693359375,16736.234375,2023,1,3,8,Tuesday,16759.87890625,16714.830078125,45.048828125,-2.541015625,23.64453125,-18.86328125,-18.86328125,26.185546875,UP,16712.118867490746,16674.385928441847,16604.43396212543,16564.8457050937
2023-01-03,16759.248046875,16639.509765625,16734.439453125,16665.87109375,2023,1,3,12,Tuesday,16759.248046875,16639.509765625,119.73828125,68.568359375,24.80859375,-26.361328125,-94.9296875,24.80859375,DOWN,16700.55692405556,16673.321574105365,16606.843261404825,16565.850932841524
2023-01-03,16685.49609375,16622.37109375,16667.44140625,16647.4921875,2023,1,3,16,Tuesday,16685.49609375,16622.37109375,63.125,19.94921875,18.0546875,-25.12109375,-45.0703125,18.0546875,DOWN,16687.29073991667,16670.092900779695,16608.43733693797,16566.66328363415
2023-01-03,16691.013671875,16647.40234375,16647.6015625,16679.951171875,2023,1,3,20,Tuesday,16691.013671875,16647.40234375,43.611328125,-32.349609375,11.0625,-0.19921875,-0.19921875,43.412109375,UP,16685.45584790625,16671.32518466661,16611.241801053147,16567.79052630321
2023-01-04,16837.29296875,16667.763671875,16680.205078125,16837.29296875,2023,1,4,0,Wednesday,16837.29296875,16667.763671875,169.529296875,-157.087890625,0.0,-12.44140625,-12.44140625,157.087890625,UP,16723.415128117187,16692.071157677034,16620.106552727535,16570.47214264597
2023-01-04,16884.5703125,16840.0390625,16840.0390625,16870.26953125,2023,1,4,4,Wednesday,16884.5703125,16840.0390625,44.53125,-30.23046875,14.30078125,0.0,0.0,44.53125,UP,16760.12872890039,16714.345954373654,16629.91686561077,16573.455201239045
2023-01-04,16886.140625,16840.9921875,16871.8359375,16847.41015625,2023,1,4,8,Wednesday,16886.140625,16840.9921875,45.1484375,24.42578125,14.3046875,-6.41796875,-30.84375,14.3046875,DOWN,16781.94908573779,16730.978979608197,16638.44601426329,16576.181121189406
2023-01-04,16852.587890625,16789.75,16846.962890625,16852.587890625,2023,1,4,12,Wednesday,16852.587890625,16789.75,62.837890625,-5.625,0.0,-57.212890625,-57.212890625,5.625,UP,16799.608786959594,16746.180093485298,16646.843734904924,16578.931437303196
2023-01-04,16964.5859375,16821.509765625,16853.30078125,16842.033203125,2023,1,4,16,Wednesday,16964.5859375,16821.509765625,143.076171875,11.267578125,111.28515625,-20.5234375,-31.791015625,111.28515625,DOWN,16810.214891000945,16758.16173219026,16654.49822385473,16581.549365321323
2023-01-04,16871.705078125,16802.75390625,16840.978515625,16863.375,2023,1,4,20,Wednesday,16871.705078125,16802.75390625,68.951171875,-22.396484375,8.330078125,-38.224609375,-38.224609375,30.7265625,UP,16823.50491825071,16771.313390666477,16662.689469978075,16584.353600492257
2023-01-05,16884.021484375,16826.138671875,16863.47265625,16831.853515625,2023,1,5,0,Thursday,16884.021484375,16826.138671875,57.8828125,31.619140625,20.548828125,-5.71484375,-37.333984375,20.548828125,DOWN,16825.592067594283,16778.880906286293,16669.32335412109,16586.81628621497
2023-01-05,16853.505859375,16804.193359375,16832.064453125,16826.11328125,2023,1,5,4,Thursday,16853.505859375,16804.193359375,49.3125,5.951171875,21.44140625,-21.919921875,-27.87109375,21.44140625,DOWN,16825.72237100821,16784.784953156755,16675.47197871438,16589.197350842187
2023-01-05,16842.2734375,16798.62109375,16828.015625,16840.32421875,2023,1,5,8,Thursday,16842.2734375,16798.62109375,43.65234375,-12.30859375,1.94921875,-29.39453125,-29.39453125,14.2578125,UP,16829.372832943656,16791.727361355912,16681.936772441266,16591.696125647242
2023-01-05,16878.7578125,16790.283203125,16840.533203125,16854.46484375,2023,1,5,12,Thursday,16878.7578125,16790.283203125,88.474609375,-13.931640625,24.29296875,-50.25,-50.25,38.224609375,UP,16835.645835645242,16799.569546655173,16688.702579159257,16594.31073975772
2023-01-05,16873.857421875,16815.958984375,16854.421875,16864.12890625,2023,1,5,16,Thursday,16873.857421875,16815.958984375,57.8984375,-9.70703125,9.728515625,-38.462890625,-38.462890625,19.435546875,UP,16842.766603296433,16807.639466604527,16695.582042966736,16596.995497633266
2023-01-05,16866.953125,16827.787109375,16863.203125,16835.5859375,2023,1,5,20,Thursday,16866.953125,16827.787109375,39.166015625,27.6171875,3.75,-7.798828125,-35.416015625,3.75,DOWN,16840.971436847325,16811.13277546646,16701.072391771962,16599.369531860797
2023-01-06,16867.462890625,16814.912109375,16836.47265625,16838.794921875,2023,1,6,0,Friday,16867.462890625,16814.912109375,52.55078125,-2.322265625,28.66796875,-21.560546875,-21.560546875,30.990234375,UP,16840.427308104245,16814.59054376753,16706.473275305416,16601.751874049995
2023-01-06,16838.599609375,16786.556640625,16836.921875,16798.263671875,2023,1,6,4,Friday,16838.599609375,16786.556640625,52.04296875,38.658203125,1.677734375,-11.70703125,-50.365234375,1.677734375,DOWN,16829.886399046933,16812.549684780963,16710.072898700302,16603.707215321887
2023-01-06,16813.505859375,16738.06640625,16796.880859375,16747.888671875,2023,1,6,8,Friday,16813.505859375,16738.06640625,75.439453125,48.9921875,16.625,-9.822265625,-58.814453125,16.625,DOWN,16809.38696725395,16804.467058167716,16711.55587019735,16605.141856680624
2023-01-06,16826.978515625,16716.421875,16748.21484375,16826.978515625,2023,1,6,12,Friday,16826.978515625,16716.421875,110.556640625,-78.763671875,0.0,-31.79296875,-31.79296875,78.763671875,UP,16813.78485434671,16807.28099034988,16716.082248449417,16607.34918662037
