product_symbol,price,size,timestamp,buyer_role
C-ETH-3800-010624,6.10000000,5,2024-06-01 00:00:01.112190,taker
C-ETH-3860-010624,0.90000000,151,2024-06-01 00:00:46.615237,taker
C-ETH-3900-030624,13.10000000,1,2024-06-01 00:03:17.037576,taker
P-ETH-3640-030624,11.90000000,1,2024-06-01 00:03:17.040575,taker
P-ETH-3700-070624,77.90000000,100,2024-06-01 00:09:34.088000,maker
C-ETH-3820-010624,1.67000000,1,2024-06-01 00:30:04.942983,taker
C-ETH-3800-020624,12.50000000,50,2024-06-01 00:30:05.496025,taker
C-ETH-3900-010624,0.50000000,20,2024-06-01 00:32:21.056167,taker
P-ETH-3750-280624,241.00000000,100,2024-06-01 00:35:46.487744,taker
C-ETH-3780-020624,20.20000000,1,2024-06-01 00:38:58.516392,maker
P-ETH-3720-020624,8.90000000,8,2024-06-01 00:40:33.269262,maker
C-ETH-3840-020624,5.30000000,9,2024-06-01 00:41:37.519785,maker
P-ETH-3760-020624,22.80000000,1,2024-06-01 00:42:49.960562,maker
C-ETH-3860-010624,0.70000000,100,2024-06-01 00:46:36.538141,taker
P-ETH-3600-020624,0.70000000,4,2024-06-01 00:47:05.535686,taker
P-ETH-3640-030624,10.30000000,10,2024-06-01 00:49:27.130032,maker
C-ETH-3840-010624,0.50000000,100,2024-06-01 00:53:09.103791,maker
C-ETH-3800-010624,5.40000000,16,2024-06-01 00:56:18.636365,taker
P-ETH-3660-020624,2.20000000,11,2024-06-01 00:57:22.040019,taker
C-ETH-3920-020624,1.10000000,10,2024-06-01 00:57:26.012022,taker
P-ETH-3700-020624,5.00000000,1,2024-06-01 01:02:12.369615,maker
C-ETH-3760-010624,26.10000000,3,2024-06-01 01:04:55.628727,taker
C-ETH-3800-010624,7.50000000,16,2024-06-01 01:05:29.679618,maker
C-ETH-3780-010624,14.97000000,50,2024-06-01 01:05:49.723333,maker
C-ETH-3760-010624,21.70000000,3,2024-06-01 01:08:41.053953,maker
P-ETH-3800-020624,44.10000000,34,2024-06-01 01:09:59.372603,taker
P-ETH-3720-010624,2.90000000,26,2024-06-01 01:10:37.703876,taker
C-ETH-3860-010624,0.90000000,40,2024-06-01 01:10:43.692428,taker
P-ETH-3720-010624,3.20000000,1,2024-06-01 01:13:10.138283,taker
C-ETH-3900-010624,0.50000000,1,2024-06-01 01:13:11.326984,taker
C-ETH-5200-280624,22.00000000,1000,2024-06-01 01:13:27.825443,maker
C-ETH-4400-070624,7.50000000,73,2024-06-01 01:16:38.227708,maker
C-ETH-3760-010624,23.40000000,1,2024-06-01 01:17:11.580444,taker
C-ETH-3840-010624,1.50000000,896,2024-06-01 01:17:18.208541,taker
C-ETH-3840-020624,5.00000000,1,2024-06-01 01:21:58.789854,maker
C-ETH-3800-010624,4.90000000,70,2024-06-01 01:21:58.813778,maker
C-ETH-3800-010624,4.60000000,200,2024-06-01 01:25:34.748835,maker
C-ETH-3760-010624,20.80000000,3,2024-06-01 01:27:06.492212,taker
C-ETH-3840-010624,1.20000000,23,2024-06-01 01:31:20.624579,taker
P-ETH-3680-020624,2.40000000,139,2024-06-01 01:32:38.936490,maker
P-ETH-3760-010624,14.00000000,20,2024-06-01 01:34:01.999966,maker
P-ETH-4100-210624,428.80000000,2,2024-06-01 01:42:28.251494,taker
P-ETH-3800-210624,225.60000000,4,2024-06-01 01:42:56.893675,maker
C-ETH-4400-210624,58.60000000,2,2024-06-01 01:43:31.812942,maker
P-ETH-3780-020624,35.00000000,25,2024-06-01 01:45:07.004119,maker
C-ETH-3400-210624,470.40000000,2,2024-06-01 01:45:36.785469,maker
C-ETH-3800-210624,218.30000000,4,2024-06-01 01:46:41.972188,maker
P-ETH-3300-210624,50.20000000,2,2024-06-01 01:46:51.129186,maker
P-ETH-3740-010624,7.00000000,10,2024-06-01 01:51:04.320383,maker
C-ETH-3840-010624,1.00000000,50,2024-06-01 01:51:41.828772,taker
C-ETH-3760-010624,18.00000000,3,2024-06-01 01:51:49.635772,maker
P-ETH-3700-010624,0.80000000,3,2024-06-01 01:52:21.796442,maker
C-ETH-4040-010624,0.01000000,1,2024-06-01 01:53:11.156129,maker
C-ETH-4040-010624,0.30000000,1,2024-06-01 01:55:14.708685,taker
