,high,low,open,close,year,month,day,close_open_diff
2015-01-09,8303.0,8191.1,8285.45,8280.25,2015,1,9,-11.100000000000364
2015-01-12,8332.25,8245.6,8291.35,8326.55,2015,1,12,-19.600000000000364
2015-01-13,8356.65,8268.15,8346.15,8303.8,2015,1,13,-3.4500000000007276
2015-01-14,8326.3,8236.75,8307.25,8287.75,2015,1,14,-137.45000000000073
2015-01-15,8526.9,8380.75,8425.2,8461.15,2015,1,15,-92.25
2015-01-19,8570.8,8531.7,8553.4,8550.3,2015,1,19,-24.80000000000109
2015-01-20,8707.75,8574.65,8575.1,8691.25,2015,1,20,-28.399999999999636
2015-01-21,8741.5,8689.7,8719.65,8728.05,2015,1,21,-17.80000000000109
2015-01-22,8774.0,8727.15,8745.85,8762.2,2015,1,22,-65.75
2015-01-23,8866.15,8795.6,8827.95,8823.55,2015,1,23,-47.80000000000109
2015-01-27,8924.95,8825.55,8871.35,8904.2,2015,1,27,1.4500000000007276
2015-01-28,8985.05,8874.2,8902.75,8906.8,2015,1,28,5.299999999999272
2015-01-29,8966.2,8861.65,8901.5,8950.2,2015,1,29,-46.399999999999636
2015-01-30,8996.6,8775.6,8996.6,8821.45,2015,1,30,18.950000000000728
2015-02-02,8839.9,8751.45,8802.5,8798.15,2015,2,2,-25.0
2015-02-03,8836.45,8726.65,8823.15,8746.65,2015,2,3,-42.5
2015-02-04,8791.45,8704.7,8789.15,8713.95,2015,2,4,-19.149999999999636
2015-02-05,8838.3,8683.95,8733.1,8699.4,2015,2,5,2.5499999999992724
2015-02-06,8725.8,8646.65,8696.85,8666.0,2015,2,6,81.60000000000036
2015-02-09,8603.9,8516.35,8584.4,8518.3,2015,2,9,40.19999999999891
2015-02-10,8646.15,8472.05,8478.1,8578.85,2015,2,10,-24.44999999999891
2015-02-11,8651.9,8594.05,8603.3,8635.5,2015,2,11,-41.45000000000073
2015-02-12,8732.15,8599.4,8676.95,8728.4,2015,2,12,-13.100000000000364
2015-02-13,8821.7,8730.0,8741.5,8803.05,2015,2,13,-28.350000000000364
2015-02-16,8869.95,8793.7,8831.4,8808.7,2015,2,16,-2.849999999998545
2015-02-18,8893.9,8810.05,8811.55,8865.25,2015,2,18,-17.799999999999272
2015-02-19,8913.45,8794.55,8883.05,8898.35,2015,2,19,2.850000000000364
2015-02-20,8895.5,8816.5,8895.5,8827.7,2015,2,20,-29.149999999999636
2015-02-23,8868.9,8737.25,8856.85,8742.8,2015,2,23,-30.100000000000364
2015-02-24,8800.5,8727.25,8772.9,8760.8,2015,2,24,-41.850000000000364
2015-02-25,8840.5,8751.65,8802.65,8765.25,2015,2,25,-13.75
2015-02-26,8783.6,8669.85,8779.0,8694.65,2015,2,26,-34.850000000000364
2015-02-27,8856.95,8717.6,8729.5,8850.65,2015,2,27,-62.399999999999636
2015-02-28,8940.8,8751.6,8913.05,8920.75,2015,2,28,-33.850000000000364
2015-03-02,8971.7,8885.65,8954.6,8961.55,2015,3,2,-1.3000000000010914
2015-03-03,9008.25,8925.7,8962.85,8996.75,2015,3,3,-112.39999999999964
2015-03-04,9117.3,8894.5,9109.15,8918.4,2015,3,4,-11.0
2015-03-05,8957.35,8849.45,8929.4,8937.75,2015,3,5,60.45000000000073
2015-03-09,8877.3,8740.45,8877.3,8743.25,2015,3,9,-26.5
2015-03-10,8777.95,8677.6,8769.75,8725.6,2015,3,10,-3.149999999999636
