,high,low,open,close,year,month,day,hour,minute
2015-01-09,8301.3,8285.45,8285.45,8301.2,2015,1,9,9,15
2015-01-12,8291.35,8245.6,8291.35,8267.6,2015,1,12,9,15
2015-01-13,8355.9,8338.5,8346.15,8340.8,2015,1,13,9,15
2015-01-14,8314.15,8286.85,8307.25,8304.85,2015,1,14,9,15
2015-01-15,8452.65,8380.75,8425.2,8429.3,2015,1,15,9,15
2015-01-19,8561.15,8552.8,8553.4,8558.8,2015,1,19,9,26
2015-01-20,8585.15,8575.1,8575.1,8581.9,2015,1,20,9,15
2015-01-21,8719.65,8699.9,8719.65,8707.7,2015,1,21,9,15
2015-01-22,8754.55,8745.5,8745.85,8751.25,2015,1,22,9,15
2015-01-23,8855.85,8827.95,8827.95,8854.7,2015,1,23,9,15
2015-01-27,8874.7,8826.1,8871.35,8844.65,2015,1,27,9,15
2015-01-28,8909.35,8893.95,8902.75,8899.35,2015,1,28,9,15
2015-01-29,8901.5,8870.45,8901.5,8870.9,2015,1,29,9,15
2015-01-30,8996.6,8960.95,8996.6,8961.3,2015,1,30,9,15
2015-02-02,8807.8,8777.4,8802.5,8790.5,2015,2,2,9,15
2015-02-03,8836.45,8822.05,8823.15,8823.2,2015,2,3,9,15
2015-02-04,8791.45,8768.95,8789.15,8769.8,2015,2,4,9,15
2015-02-05,8733.1,8705.75,8733.1,8710.15,2015,2,5,9,15
2015-02-06,8712.9,8690.6,8696.85,8707.1,2015,2,6,9,15
2015-02-09,8593.55,8577.85,8584.4,8590.95,2015,2,9,9,15
2015-02-10,8535.05,8472.05,8478.1,8534.4,2015,2,10,9,15
2015-02-11,8615.4,8601.45,8603.3,8610.75,2015,2,11,9,15
2015-02-12,8681.4,8655.15,8676.95,8662.95,2015,2,12,9,15
2015-02-13,8749.35,8730.0,8741.5,8748.65,2015,2,13,9,15
2015-02-16,8844.55,8825.4,8831.4,8836.45,2015,2,16,9,15
2015-02-18,8838.7,8810.05,8811.55,8832.65,2015,2,18,9,15
2015-02-19,8895.05,8883.05,8883.05,8892.65,2015,2,19,9,15
2015-02-20,8895.5,8863.45,8895.5,8879.6,2015,2,20,9,15
2015-02-23,8859.7,8839.2,8856.85,8858.95,2015,2,23,9,15
2015-02-24,8775.25,8746.5,8772.9,8762.7,2015,2,24,9,15
2015-02-25,8813.45,8798.6,8802.65,8807.55,2015,2,25,9,15
2015-02-26,8783.6,8750.4,8779.0,8754.05,2015,2,26,9,15
2015-02-27,8757.25,8729.5,8729.5,8735.25,2015,2,27,9,15
2015-02-28,8919.15,8896.0,8913.05,8905.6,2015,2,28,9,15
2015-03-02,8960.45,8931.25,8954.6,8956.4,2015,3,2,9,15
2015-03-03,8962.85,8927.1,8962.85,8939.35,2015,3,3,9,15
2015-03-04,9117.3,9082.5,9109.15,9088.1,2015,3,4,9,15
2015-03-05,8936.2,8917.85,8929.4,8928.9,2015,3,5,9,15
2015-03-09,8877.3,8830.8,8877.3,8836.15,2015,3,9,9,15
2015-03-10,8769.75,8734.8,8769.75,8749.5,2015,3,10,9,15
2015-03-11,8739.9,8722.5,8728.75,8725.0,2015,3,11,9,15
2015-03-12,8752.3,8736.7,8740.65,8737.1,2015,3,12,9,15
2015-03-13,8844.05,8816.3,8844.05,8819.7,2015,3,13,9,15
2015-03-16,8648.65,8640.5,8641.1,8648.1,2015,3,16,9,35
2015-03-17,8691.2,8674.4,8689.1,8675.75,2015,3,17,9,15
2015-03-18,8746.4,8701.3,8742.9,8712.05,2015,3,18,9,15
2015-03-19,8752.65,8733.0,8749.45,8738.55,2015,3,19,9,15
2015-03-20,8627.9,8600.4,8627.9,8607.6,2015,3,20,9,15
2015-03-23,8607.9,8591.55,8591.55,8591.7,2015,3,23,9,15
2015-03-24,8556.2,8537.05,8537.05,8547.0,2015,3,24,9,15
2015-03-25,8573.45,8550.85,8568.9,8565.4,2015,3,25,9,15
2015-03-26,8498.9,8469.55,8474.95,8483.65,2015,3,26,9,15
2015-03-27,8411.4,8359.35,8396.0,8375.5,2015,3,27,9,15
2015-03-30,8403.25,8389.4,8391.7,8391.0,2015,3,30,9,15
2015-03-31,8527.6,8505.25,8527.6,8513.8,2015,3,31,9,15
2015-04-01,8490.8,8466.7,8483.7,8478.5,2015,4,1,9,15
2015-04-06,8615.8,8595.2,8615.8,8596.05,2015,4,6,9,15
2015-04-07,8687.5,8675.9,8684.45,8685.1,2015,4,7,9,15
2015-04-08,8705.6,8696.9,8698.95,8700.25,2015,4,8,9,15
2015-04-09,8758.9,8744.7,8756.2,8753.65,2015,4,9,9,15
2015-04-10,8778.0,8758.95,8774.35,8763.1,2015,4,10,9,15
2015-04-13,8801.75,8768.2,8801.75,8770.45,2015,4,13,9,15
2015-04-15,8844.75,8814.15,8844.75,8823.3,2015,4,15,9,15
2015-04-16,8759.1,8733.4,8757.05,8741.5,2015,4,16,9,15
2015-04-17,8698.35,8677.5,8698.05,8693.7,2015,4,17,9,15
2015-04-20,8619.95,8572.2,8615.4,8576.05,2015,4,20,9,15
2015-04-21,8426.2,8406.2,8416.1,8420.65,2015,4,21,9,15
2015-04-22,8414.8,8381.9,8400.4,8414.8,2015,4,22,9,15
2015-04-23,8482.75,8459.95,8478.2,8461.0,2015,4,23,9,15
2015-04-24,8412.15,8366.25,8405.7,8374.3,2015,4,24,9,15
2015-04-27,8331.4,8300.2,8330.55,8303.3,2015,4,27,9,15
2015-04-28,8215.55,8185.75,8215.55,8208.9,2015,4,28,9,15
2015-04-29,8276.05,8252.5,8274.8,8264.45,2015,4,29,9,15
2015-04-30,8228.9,8186.4,8224.5,8190.2,2015,4,30,9,15
2015-05-04,8243.15,8221.25,8230.05,8235.6,2015,5,4,9,15
2015-05-05,8341.65,8310.65,8338.4,8319.6,2015,5,5,9,15
2015-05-06,8330.3,8296.2,8316.6,8306.25,2015,5,6,9,15
2015-05-07,8077.0,8044.95,8077.0,8056.55,2015,5,7,9,15
2015-05-08,8134.75,8123.65,8131.5,8131.0,2015,5,8,9,15
2015-05-11,8247.2,8237.9,8243.2,8239.0,2015,5,11,9,15
2015-05-12,8326.15,8246.7,8326.15,8254.35,2015,5,12,9,15
2015-05-13,8227.45,8157.8,8181.55,8223.8,2015,5,13,9,15
2015-05-14,8232.45,8146.7,8232.45,8148.1,2015,5,14,9,15
2015-05-15,8278.3,8235.5,8240.3,8260.55,2015,5,15,9,15
2015-05-18,8294.1,8271.95,8284.95,8285.4,2015,5,18,9,15
