,high,low,open,close,year,month,day,hour,minute
2015-01-09,8301.3,8287.2,8292.6,8301.2,2015,1,9,9,16
2015-01-12,8270.6,8245.6,8254.2,8267.6,2015,1,12,9,16
2015-01-13,8355.9,8339.55,8355.15,8340.8,2015,1,13,9,16
2015-01-14,8314.15,8300.85,8300.85,8304.85,2015,1,14,9,16
2015-01-15,8440.45,8380.75,8440.45,8429.3,2015,1,15,9,16
2015-01-19,8561.15,8552.8,8553.6,8558.8,2015,1,19,9,27
2015-01-20,8585.0,8578.55,8583.85,8581.9,2015,1,20,9,16
2015-01-21,8712.25,8699.9,8712.2,8707.7,2015,1,21,9,16
2015-01-22,8754.55,8746.1,8748.05,8751.25,2015,1,22,9,16
2015-01-23,8855.85,8834.5,8837.1,8854.7,2015,1,23,9,16
2015-01-27,8845.0,8826.1,8841.85,8844.65,2015,1,27,9,16
2015-01-28,8909.35,8897.45,8901.65,8899.35,2015,1,28,9,16
2015-01-29,8885.75,8870.45,8874.7,8870.9,2015,1,29,9,16
2015-01-30,8980.05,8960.95,8979.65,8961.3,2015,1,30,9,16
2015-02-02,8799.05,8777.4,8798.45,8790.5,2015,2,2,9,16
2015-02-03,8833.75,8822.05,8828.35,8823.2,2015,2,3,9,16
2015-02-04,8787.45,8768.95,8787.15,8769.8,2015,2,4,9,16
2015-02-05,8717.95,8706.45,8708.15,8710.15,2015,2,5,9,16
2015-02-06,8712.9,8693.1,8708.3,8707.1,2015,2,6,9,16
2015-02-09,8593.55,8578.4,8579.4,8590.95,2015,2,9,9,16
2015-02-10,8535.05,8480.85,8480.85,8534.4,2015,2,10,9,16
2015-02-11,8615.4,8602.0,8602.7,8610.75,2015,2,11,9,16
2015-02-12,8674.85,8655.15,8674.85,8662.95,2015,2,12,9,16
2015-02-13,8749.35,8730.0,8736.55,8748.65,2015,2,13,9,16
2015-02-16,8844.55,8831.0,8831.35,8836.45,2015,2,16,9,16
2015-02-18,8838.7,8816.85,8817.75,8832.65,2015,2,18,9,16
2015-02-19,8895.05,8883.45,8888.65,8892.65,2015,2,19,9,16
2015-02-20,8886.5,8863.45,8883.65,8879.6,2015,2,20,9,16
2015-02-23,8859.7,8839.2,8850.85,8858.95,2015,2,23,9,16
2015-02-24,8766.85,8748.2,8748.2,8762.7,2015,2,24,9,16
2015-02-25,8813.45,8798.6,8799.6,8807.55,2015,2,25,9,16
2015-02-26,8767.45,8750.4,8767.3,8754.05,2015,2,26,9,16
2015-02-27,8749.2,8734.2,8748.55,8735.25,2015,2,27,9,16
2015-02-28,8910.65,8896.0,8910.65,8905.6,2015,2,28,9,16
2015-03-02,8956.6,8931.25,8953.6,8956.4,2015,3,2,9,16
2015-03-03,8946.5,8927.1,8939.05,8939.35,2015,3,3,9,16
2015-03-04,9102.45,9082.5,9098.55,9088.1,2015,3,4,9,16
2015-03-05,8936.2,8917.85,8928.4,8928.9,2015,3,5,9,16
2015-03-09,8849.95,8830.8,8849.7,8836.15,2015,3,9,9,16
2015-03-10,8756.55,8741.15,8741.4,8749.5,2015,3,10,9,16
2015-03-11,8736.05,8723.35,8726.0,8725.0,2015,3,11,9,16
2015-03-12,8750.6,8736.7,8750.6,8737.1,2015,3,12,9,16
2015-03-13,8825.0,8816.3,8824.1,8819.7,2015,3,13,9,16
