Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
1,2023-12-08,,09:16:00,69661.43,,,,,2023-12-08,,15:15:00,69890.34,-750.0,,,949.95,-750.05,Exit Condition Met For Trade
1.1,2023-12-08,Friday,09:43:00,109.0,10,CE,69800.0,Buy,2023-12-08,Friday,12:45:00,34.0,-750.0,-68.80733944954129,2023-12-08,,,Stop Loss Hit
2,2023-12-14,,09:16:00,70161.02,,,,,2023-12-14,,15:15:00,70460.39,-155.0,,,1043.95,-334.54999999999995,Exit Condition Met For Trade
2.1,2023-12-14,Thursday,09:51:00,132.1,10,CE,70600.0,Buy,2023-12-14,Thursday,15:15:00,116.6,-155.0,-11.733535200605603,2023-12-15,,,Exit Condition Met For Trade
3,2023-12-15,,09:16:00,70791.36,,,,,2023-12-15,,15:15:00,71464.3,-750.0,,,0,-750.05,Exit Condition Met For Trade
3.2,2023-12-15,Friday,09:39:00,138.15,10,PE,70700.0,Buy,2023-12-15,Friday,09:46:00,63.15,-750.0,-54.28881650380021,2023-12-15,,,Stop Loss Hit
4,2023-12-20,,09:16:00,71754.52,,,,,2023-12-20,,15:15:00,70489.62,3271.5,,,3271.5,-136.54999999999995,Exit Condition Met For Trade
4.2,2023-12-20,Wednesday,13:29:00,118.35,10,PE,70800.0,Buy,2023-12-20,Wednesday,15:15:00,445.5,3271.5,276.42585551330797,2023-12-22,,,Exit Condition Met For Trade
5,2023-12-21,,09:16:00,70098.45,,,,,2023-12-21,,15:15:00,70886.21,1692.5,,,1739.95,-655.55,Exit Condition Met For Trade
5.1,2023-12-21,Thursday,10:12:00,116.25,10,CE,70900.0,Buy,2023-12-21,Thursday,15:15:00,285.5,1692.5,145.59139784946237,2023-12-22,,,Exit Condition Met For Trade
6,2023-12-22,,09:16:00,70892.04,,,,,2023-12-22,,15:15:00,71116.07,-750.0,,,378.45000000000005,-750.05,Exit Condition Met For Trade
6.1,2023-12-22,Friday,09:49:00,110.65,10,CE,71200.0,Buy,2023-12-22,Friday,12:35:00,35.65,-750.0,-67.78129236330773,2023-12-22,,,Stop Loss Hit
7,2024-01-02,,09:16:00,72150.56,,,,,2024-01-02,,15:15:00,71886.1,-596.5,,,81.95000000000005,-714.55,Exit Condition Met For Trade
7.2,2024-01-02,Tuesday,10:40:00,111.3,10,PE,70500.0,Buy,2024-01-02,Tuesday,15:15:00,51.65,-596.5,-53.59389038634322,2024-01-05,,,Exit Condition Met For Trade
8,2024-01-05,,09:16:00,72121.89,,,,,2024-01-05,,15:15:00,72060.84,-750.0,,,0,-750.05,Exit Condition Met For Trade
