"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2023-12-08"," 09:16:00","2023-12-08"," 15:15:00","","","","","","","12.60","-750.00"
"1.1","2023-12-08"," 09:43:00","2023-12-08"," 12:45:00","CE","69800","Buy","10","109.00","34.00","","-750.00"
"2","2023-12-14"," 09:16:00","2023-12-14"," 15:15:00","","","","","","","11.86","-155.00"
"2.1","2023-12-14"," 09:51:00","2023-12-14"," 15:15:00","CE","70600","Buy","10","132.10","116.60","","-155.00"
"3","2023-12-15"," 09:16:00","2023-12-15"," 15:15:00","","","","","","","12.12","-750.00"
"3.1","2023-12-15"," 09:39:00","2023-12-15"," 09:46:00","PE","70700","Buy","10","138.15","63.15","","-750.00"
"4","2023-12-20"," 09:16:00","2023-12-20"," 15:15:00","","","","","","","14.02","3271.50"
"4.1","2023-12-20"," 13:29:00","2023-12-20"," 15:15:00","PE","70800","Buy","10","118.35","445.50","","3271.50"
"5","2023-12-21"," 09:16:00","2023-12-21"," 15:15:00","","","","","","","14.55","1692.50"
"5.1","2023-12-21"," 10:12:00","2023-12-21"," 15:15:00","CE","70900","Buy","10","116.25","285.50","","1692.50"
"6","2023-12-22"," 09:16:00","2023-12-22"," 15:15:00","","","","","","","13.82","-750.00"
"6.1","2023-12-22"," 09:49:00","2023-12-22"," 12:35:00","CE","71200","Buy","10","110.65","35.65","","-750.00"
"7","2024-01-02"," 09:16:00","2024-01-02"," 15:15:00","","","","","","","14.87","-596.50"
"7.1","2024-01-02"," 10:40:00","2024-01-02"," 15:15:00","PE","70500","Buy","10","111.30","51.65","","-596.50"
"8","2024-01-05"," 09:16:00","2024-01-05"," 15:15:00","","","","","","","13.31","-750.00"
"8.1","2024-01-05"," 10:44:00","2024-01-05"," 13:14:00","PE","71900","Buy","10","100.65","25.65","","-750.00"
"9","2024-01-08"," 09:16:00","2024-01-08"," 15:15:00","","","","","","","13.12","610.00"
"9.1","2024-01-08"," 11:09:00","2024-01-08"," 15:15:00","PE","70700","Buy","10","110.00","171.00","","610.00"
"10","2024-01-09"," 09:16:00","2024-01-09"," 15:15:00","","","","","","","12.92","313.00"
"10.1","2024-01-09"," 14:22:00","2024-01-09"," 15:15:00","PE","70800","Buy","10","112.40","143.70","","313.00"
"11","2024-01-11"," 09:16:00","2024-01-11"," 15:15:00","","","","","","","12.90","-614.00"
"11.1","2024-01-11"," 14:11:00","2024-01-11"," 15:15:00","PE","71300","Buy","10","104.70","43.30","","-614.00"
"12","2024-01-12"," 09:16:00","2024-01-12"," 15:15:00","","","","","","","12.76","2043.00"
"12.1","2024-01-12"," 10:05:00","2024-01-12"," 15:15:00","CE","72200","Buy","10","129.05","333.35","","2043.00"
"13","2024-01-17"," 09:16:00","2024-01-17"," 15:15:00","","","","","","","13.68","-294.50"
"13.1","2024-01-17"," 09:21:00","2024-01-17"," 15:15:00","CE","73500","Buy","10","88.00","28.25","","-597.50"
"13.2","2024-01-17"," 12:03:00","2024-01-17"," 15:15:00","PE","70800","Buy","10","125.75","156.05","","303.00"
"14","2024-01-18"," 09:16:00","2024-01-18"," 15:15:00","","","","","","","15.22","-750.00"
"14.1","2024-01-18"," 09:52:00","2024-01-18"," 10:48:00","PE","69900","Buy","10","119.00","44.00","","-750.00"
"15","2024-01-23"," 09:16:00","2024-01-23"," 15:15:00","","","","","","","13.09","3500.00"
"15.1","2024-01-23"," 10:07:00","2024-01-23"," 12:05:00","PE","70900","Buy","10","115.50","465.50","","3500.00"
"16","2024-01-24"," 09:16:00","2024-01-24"," 15:15:00","","","","","","","15.34","1458.00"
"16.1","2024-01-24"," 09:23:00","2024-01-24"," 15:15:00","CE","71200","Buy","10","107.80","253.60","","1458.00"
"17","2024-01-25"," 09:16:00","2024-01-25"," 15:15:00","","","","","","","14.52","-750.00"
"17.1","2024-01-25"," 10:20:00","2024-01-25"," 13:45:00","PE","70300","Buy","10","112.10","37.10","","-750.00"
"18","2024-01-29"," 09:16:00","2024-01-29"," 15:15:00","","","","","","","14.84","927.50"
"18.1","2024-01-29"," 09:26:00","2024-01-29"," 15:15:00","CE","73500","Buy","10","109.00","201.75","","927.50"
"19","2024-02-02"," 09:16:00","2024-02-02"," 15:15:00","","","","","","","14.05","3500.00"
"19.1","2024-02-02"," 09:20:00","2024-02-02"," 11:32:00","CE","72700","Buy","10","99.00","449.00","","3500.00"
"20","2024-02-08"," 09:16:00","2024-02-08"," 15:15:00","","","","","","","15.48","212.00"
"20.1","2024-02-08"," 11:03:00","2024-02-08"," 15:15:00","PE","71000","Buy","10","113.85","135.05","","212.00"
"21","2024-02-09"," 09:16:00","2024-02-09"," 15:15:00","","","","","","","16.15","-750.00"
"21.1","2024-02-09"," 09:22:00","2024-02-09"," 11:02:00","CE","72000","Buy","10","95.80","20.80","","-750.00"
"22","2024-02-14"," 09:16:00","2024-02-14"," 15:15:00","","","","","","","15.99","-264.00"
"22.1","2024-02-14"," 14:59:00","2024-02-14"," 15:15:00","CE","72700","Buy","10","102.50","76.10","","-264.00"
"23","2024-02-22"," 09:16:00","2024-02-22"," 15:15:00","","","","","","","15.76","-750.00"
"23.1","2024-02-22"," 10:24:00","2024-02-22"," 13:25:00","PE","71400","Buy","10","111.00","36.00","","-750.00"
"24","2024-02-28"," 09:16:00","2024-02-28"," 15:15:00","","","","","","","15.84","115.50"
"24.1","2024-02-28"," 12:58:00","2024-02-28"," 15:15:00","PE","71300","Buy","10","111.65","123.20","","115.50"
"25","2024-03-01"," 09:16:00","2024-03-01"," 15:15:00","","","","","","","15.52","2294.50"
"25.1","2024-03-01"," 09:35:00","2024-03-01"," 15:15:00","CE","73400","Buy","10","120.55","350.00","","2294.50"
"26","2024-03-06"," 09:16:00","2024-03-06"," 15:15:00","","","","","","","14.43","682.00"
"26.1","2024-03-06"," 14:06:00","2024-03-06"," 15:15:00","CE","74300","Buy","10","112.00","180.20","","682.00"
"27","2024-03-11"," 09:16:00","2024-03-11"," 15:15:00","","","","","","","14.29","-510.50"
"27.1","2024-03-11"," 09:17:00","2024-03-11"," 15:15:00","CE","75300","Buy","10","94.05","43.00","","-510.50"
"28","2024-03-13"," 09:16:00","2024-03-13"," 15:15:00","","","","","","","13.67","1595.50"
"28.1","2024-03-13"," 11:26:00","2024-03-13"," 15:15:00","PE","72400","Buy","10","113.30","272.85","","1595.50"
"29","2024-03-14"," 09:16:00","2024-03-14"," 15:15:00","","","","","","","14.57","-750.00"
"29.1","2024-03-14"," 12:24:00","2024-03-14"," 14:11:00","CE","73900","Buy","10","108.90","33.90","","-750.00"
"30","2024-03-15"," 09:16:00","2024-03-15"," 15:15:00","","","","","","","13.79","-750.00"
"30.1","2024-03-15"," 09:36:00","2024-03-15"," 10:48:00","PE","72300","Buy","10","104.50","29.50","","-750.00"
"31","2024-03-22"," 09:16:00","2024-03-22"," 15:15:00","","","","","","","12.71","-750.00"
"31.1","2024-03-22"," 09:27:00","2024-03-22"," 09:37:00","PE","72000","Buy","10","117.05","42.05","","-750.00"
"32","2024-03-28"," 09:16:00","2024-03-28"," 15:15:00","","","","","","","12.76","3500.00"
"32.1","2024-03-28"," 09:24:00","2024-03-28"," 12:37:00","CE","73500","Buy","10","117.70","467.70","","3500.00"
"33","2024-04-04"," 09:16:00","2024-04-04"," 15:15:00","","","","","","","11.18","-616.50"
"33.1","2024-04-04"," 09:32:00","2024-04-04"," 15:15:00","PE","73400","Buy","10","96.25","34.60","","-616.50"
"34","2024-04-12"," 09:16:00","2024-04-12"," 15:15:00","","","","","","","11.40","-750.00"
"34.1","2024-04-12"," 09:45:00","2024-04-12"," 11:20:00","PE","74300","Buy","10","115.30","40.30","","-750.00"
"35","2024-04-15"," 09:16:00","2024-04-15"," 15:15:00","","","","","","","12.37","22.00"
"35.1","2024-04-15"," 09:17:00","2024-04-15"," 15:15:00","PE","72300","Buy","10","133.65","135.85","","22.00"
"36","2024-04-18"," 09:16:00","2024-04-18"," 15:15:00","","","","","","","12.57","1086.50"
"36.1","2024-04-18"," 13:31:00","2024-04-18"," 15:15:00","PE","72200","Buy","10","98.90","207.55","","1086.50"
"37","2024-04-19"," 09:16:00","2024-04-19"," 15:15:00","","","","","","","14.20","3500.00"
"37.1","2024-04-19"," 09:24:00","2024-04-19"," 14:00:00","CE","72600","Buy","10","107.80","457.80","","3500.00"
"38","2024-04-25"," 09:16:00","2024-04-25"," 15:15:00","","","","","","","10.52","1280.50"
"38.1","2024-04-25"," 09:41:00","2024-04-25"," 15:15:00","CE","74400","Buy","10","104.95","233.00","","1280.50"
"39","2024-04-26"," 09:16:00","2024-04-26"," 15:15:00","","","","","","","10.99","-750.00"
"39.1","2024-04-26"," 10:04:00","2024-04-26"," 11:01:00","PE","73900","Buy","10","119.00","44.00","","-750.00"
"40","2024-05-03"," 09:16:00","2024-05-03"," 15:15:00","","","","","","","13.80","3500.00"
"40.1","2024-05-03"," 09:58:00","2024-05-03"," 11:22:00","PE","74400","Buy","10","104.50","454.50","","3500.00"
"41","2024-05-07"," 09:16:00","2024-05-07"," 15:15:00","","","","","","","16.91","-291.00"
"41.1","2024-05-07"," 11:18:00","2024-05-07"," 15:15:00","PE","72300","Buy","10","111.45","82.35","","-291.00"
"42","2024-05-09"," 09:16:00","2024-05-09"," 15:15:00","","","","","","","17.41","1884.50"
"42.1","2024-05-09"," 09:30:00","2024-05-09"," 15:15:00","PE","72500","Buy","10","103.40","291.85","","1884.50"
"43","2024-05-13"," 09:16:00","2024-05-13"," 15:15:00","","","","","","","20.24","-616.50"
"43.1","2024-05-13"," 09:32:00","2024-05-13"," 15:15:00","PE","70800","Buy","10","121.00","59.35","","-616.50"
"44","2024-05-16"," 09:16:00","2024-05-16"," 15:15:00","","","","","","","20.36","-750.00"
"44.1","2024-05-16"," 10:25:00","2024-05-16"," 14:53:00","PE","72300","Buy","10","112.20","37.20","","-750.00"
"45","2024-05-17"," 09:16:00","2024-05-17"," 15:15:00","","","","","","","20.24","-750.00"
"45.1","2024-05-17"," 10:37:00","2024-05-17"," 12:46:00","CE","74300","Buy","10","104.50","29.50","","-750.00"
"46","2024-05-23"," 09:16:00","2024-05-23"," 15:15:00","","","","","","","21.71","3063.50"
"46.1","2024-05-23"," 09:44:00","2024-05-23"," 15:15:00","CE","75200","Buy","10","98.80","405.15","","3063.50"
"47","2024-05-30"," 09:16:00","2024-05-30"," 15:15:00","","","","","","","23.79","-170.50"
"47.1","2024-05-30"," 09:52:00","2024-05-30"," 15:15:00","PE","73100","Buy","10","104.85","87.80","","-170.50"
"48","2024-06-04"," 09:16:00","2024-06-04"," 15:15:00","","","","","","","19.23","3500.00"
"48.1","2024-06-04"," 09:23:00","2024-06-04"," 09:24:00","PE","73500","Buy","10","594.55","944.55","","3500.00"
"49","2024-06-07"," 09:16:00","2024-06-07"," 15:15:00","","","","","","","16.89","3500.00"
"49.1","2024-06-07"," 09:22:00","2024-06-07"," 11:36:00","CE","75900","Buy","10","114.30","464.30","","3500.00"
"50","2024-06-14"," 09:16:00","2024-06-14"," 15:15:00","","","","","","","13.37","-750.00"
"50.1","2024-06-14"," 09:23:00","2024-06-14"," 09:58:00","PE","76400","Buy","10","117.80","42.80","","-750.00"
"51","2024-06-19"," 09:16:00","2024-06-19"," 15:15:00","","","","","","","12.87","-600.00"
"51.1","2024-06-19"," 14:34:00","2024-06-19"," 15:15:00","CE","78500","Buy","10","103.95","43.95","","-600.00"
"52","2024-06-21"," 09:16:00","2024-06-21"," 15:15:00","","","","","","","13.37","-750.00"
"52.1","2024-06-21"," 10:49:00","2024-06-21"," 11:38:00","PE","76800","Buy","10","117.50","42.50","","-750.00"
"53","2024-06-25"," 09:16:00","2024-06-25"," 15:15:00","","","","","","","14.05","-55.50"
"53.1","2024-06-25"," 13:19:00","2024-06-25"," 15:15:00","CE","78900","Buy","10","104.50","98.95","","-55.50"
"54","2024-06-26"," 09:16:00","2024-06-26"," 15:15:00","","","","","","","14.31","290.50"
"54.1","2024-06-26"," 11:00:00","2024-06-26"," 15:15:00","CE","79300","Buy","10","105.60","134.65","","290.50"
"55","2024-06-27"," 09:16:00","2024-06-27"," 15:15:00","","","","","","","14.04","-750.00"
"55.1","2024-06-27"," 12:13:00","2024-06-27"," 14:33:00","CE","79800","Buy","10","108.70","33.70","","-750.00"
"56","2024-07-10"," 09:16:00","2024-07-10"," 15:15:00","","","","","","","14.28","-353.00"
"56.1","2024-07-10"," 10:24:00","2024-07-10"," 15:15:00","PE","79000","Buy","10","99.10","63.80","","-353.00"
"57","2024-07-11"," 09:16:00","2024-07-11"," 15:15:00","","","","","","","14.43","-750.00"
"57.1","2024-07-11"," 10:17:00","2024-07-11"," 14:03:00","PE","79100","Buy","10","101.20","26.20","","-750.00"
"58","2024-07-12"," 09:16:00","2024-07-12"," 10:56:00","","","","","","","13.92","2920.50"
"58.1","2024-07-12"," 10:54:00","2024-07-12"," 10:56:00","CE","80500","Buy","10","120.80","470.80","","3500.00"
"58.2","2024-07-12"," 09:57:00","2024-07-12"," 10:56:00","PE","79500","Buy","10","113.30","55.35","","-579.50"
"59","2024-07-18"," 09:16:00","2024-07-18"," 15:15:00","","","","","","","13.95","1106.50"
"59.1","2024-07-18"," 10:12:00","2024-07-18"," 15:15:00","CE","81500","Buy","10","102.50","213.15","","1106.50"
"60","2024-07-23"," 09:16:00","2024-07-23"," 15:15:00","","","","","","","15.78","-750.00"
"60.1","2024-07-23"," 12:25:00","2024-07-23"," 12:35:00","PE","77000","Buy","10","137.50","62.50","","-750.00"
"61","2024-07-24"," 09:16:00","2024-07-24"," 15:15:00","","","","","","","12.70","-750.00"
"61.1","2024-07-24"," 12:21:00","2024-07-24"," 14:32:00","PE","78600","Buy","10","107.70","32.70","","-750.00"
"62","2024-07-26"," 09:16:00","2024-07-26"," 15:15:00","","","","","","","12.55","3500.00"
"62.1","2024-07-26"," 10:00:00","2024-07-26"," 13:11:00","CE","80700","Buy","10","114.05","464.05","","3500.00"
"63","2024-08-05"," 09:16:00","2024-08-05"," 15:15:00","","","","","","","15.72","-750.00"
"63.1","2024-08-05"," 09:18:00","2024-08-05"," 09:20:00","PE","77000","Buy","10","178.30","103.30","","-750.00"
"64","2024-08-07"," 09:16:00","2024-08-07"," 15:15:00","","","","","","","15.96","-545.50"
