Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
1,2023-12-08,,09:16:00,69661.43,,,,,2023-12-08,,15:15:00,69890.34,-508.0,,,1296.95,-726.05,Exit Condition Met For Trade
1.1,2023-12-08,Friday,09:25:00,74.3,10,CE,69800.0,Buy,2023-12-08,Friday,15:15:00,23.5,-508.0,-68.371467025572,2023-12-08,,,Exit Condition Met For Trade
2,2023-12-12,,09:16:00,70004.94,,,,,2023-12-12,,15:15:00,69557.39,-149.5,,,55.950000000000045,-262.54999999999995,Exit Condition Met For Trade
2.2,2023-12-12,Tuesday,14:45:00,74.95,10,PE,68900.0,Buy,2023-12-12,Tuesday,15:15:00,60.0,-149.50000000000003,-19.946631087391598,2023-12-15,,,Exit Condition Met For Trade
3,2023-12-13,,09:16:00,69486.87,,,,,2023-12-13,,15:15:00,69578.43,-478.0,,,276.95000000000005,-484.04999999999995,Exit Condition Met For Trade
3.2,2023-12-13,Wednesday,09:59:00,79.3,10,PE,68900.0,Buy,2023-12-13,Wednesday,15:15:00,31.5,-478.0,-60.277427490542244,2023-12-15,,,Exit Condition Met For Trade
4,2023-12-14,,09:16:00,70161.02,,,,,2023-12-14,,15:15:00,70460.39,265.5,,,1464.45,-89.54999999999995,Exit Condition Met For Trade
4.1,2023-12-14,Thursday,09:17:00,90.05,10,CE,70600.0,Buy,2023-12-14,Thursday,15:15:00,116.6,265.5,29.483620210993887,2023-12-15,,,Exit Condition Met For Trade
5,2023-12-15,,09:16:00,70791.36,,,,,2023-12-15,,11:27:00,70981.38,-442.0,,,602.45,-588.55,Square Off All Legs due to Stop Loss
5.1,2023-12-15,Friday,10:05:00,60.2,10,CE,71000.0,Buy,2023-12-15,Friday,11:27:00,91.0,308.0,51.16279069767441,2023-12-15,,,Square Off All Legs due to Stop Loss
5.2,2023-12-15,Friday,09:25:00,94.2,10,PE,70700.0,Buy,2023-12-15,Friday,11:27:00,19.2,-750.0,-79.61783439490446,2023-12-15,,,Stop Loss Hit
6,2023-12-18,,09:16:00,71164.17,,,,,2023-12-18,,15:15:00,71321.25,-196.5,,,200.95000000000005,-274.54999999999995,Exit Condition Met For Trade
6.1,2023-12-18,Monday,09:25:00,78.9,10,CE,73000.0,Buy,2023-12-18,Monday,15:15:00,59.25,-196.50000000000006,-24.904942965779473,2023-12-22,,,Exit Condition Met For Trade
7,2023-12-20,,09:16:00,71754.52,,,,,2023-12-20,,15:15:00,70489.62,3500.0,,,3500.0,-31.549999999999955,Exit Condition Met For Trade
7.2,2023-12-20,Wednesday,13:25:00,80.7,10,PE,70800.0,Buy,2023-12-20,Wednesday,15:14:00,430.7,3500.0,433.70508054522924,2023-12-22,,,Target Hit
8,2023-12-21,,09:16:00,70098.45,,,,,2023-12-21,,15:15:00,70886.21,1357.5,,,1443.95,-727.05,Exit Condition Met For Trade
8.1,2023-12-21,Thursday,09:19:00,79.3,10,CE,70900.0,Buy,2023-12-21,Thursday,15:15:00,285.5,2062.0,260.0252206809584,2023-12-22,,,Exit Condition Met For Trade
8.2,2023-12-21,Thursday,09:17:00,75.0,10,PE,68700.0,Buy,2023-12-21,Thursday,15:15:00,4.55,-704.5,-93.93333333333334,2023-12-22,,,Exit Condition Met For Trade
9,2023-12-22,,09:16:00,70892.04,,,,,2023-12-22,,14:55:00,71225.18,-1160.5,,,281.95000000000005,-1337.05,Square Off All Legs due to Stop Loss
9.1,2023-12-22,Friday,09:18:00,75.45,10,CE,71200.0,Buy,2023-12-22,Friday,14:55:00,34.4,-410.50000000000006,-54.406891981444666,2023-12-22,,,Square Off All Legs due to Stop Loss
