"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2023-12-08"," 09:16:00","2023-12-08"," 15:15:00","","","","","","","12.60","-250.00"
"1.1","2023-12-08"," 09:25:00","2023-12-08"," 12:23:00","CE","69800","Buy","10","74.30","49.30","","-250.00"
"2","2023-12-12"," 09:16:00","2023-12-12"," 15:15:00","","","","","","","12.75","-149.50"
"2.1","2023-12-12"," 14:45:00","2023-12-12"," 15:15:00","PE","68900","Buy","10","74.95","60.00","","-149.50"
"3","2023-12-13"," 09:16:00","2023-12-13"," 15:15:00","","","","","","","12.62","-478.00"
"3.1","2023-12-13"," 09:59:00","2023-12-13"," 15:15:00","PE","68900","Buy","10","79.30","31.50","","-478.00"
"4","2023-12-14"," 09:16:00","2023-12-14"," 15:15:00","","","","","","","11.86","265.50"
"4.1","2023-12-14"," 09:17:00","2023-12-14"," 15:15:00","CE","70600","Buy","10","90.05","116.60","","265.50"
"5","2023-12-15"," 09:16:00","2023-12-15"," 11:27:00","","","","","","","12.12","-442.00"
"5.1","2023-12-15"," 10:05:00","2023-12-15"," 11:27:00","CE","71000","Buy","10","60.20","91.00","","308.00"
"5.2","2023-12-15"," 09:25:00","2023-12-15"," 11:27:00","PE","70700","Buy","10","94.20","19.20","","-750.00"
"6","2023-12-18"," 09:16:00","2023-12-18"," 15:15:00","","","","","","","13.52","-196.50"
"6.1","2023-12-18"," 09:25:00","2023-12-18"," 15:15:00","CE","73000","Buy","10","78.90","59.25","","-196.50"
"7","2023-12-20"," 09:16:00","2023-12-20"," 15:15:00","","","","","","","14.02","3648.00"
"7.1","2023-12-20"," 13:25:00","2023-12-20"," 15:15:00","PE","70800","Buy","10","80.70","445.50","","3648.00"
"8","2023-12-21"," 09:16:00","2023-12-21"," 15:15:00","","","","","","","14.55","1357.50"
"8.1","2023-12-21"," 09:19:00","2023-12-21"," 15:15:00","CE","70900","Buy","10","79.30","285.50","","2062.00"
"8.2","2023-12-21"," 09:17:00","2023-12-21"," 15:15:00","PE","68700","Buy","10","75.00","4.55","","-704.50"
"9","2023-12-22"," 09:16:00","2023-12-22"," 12:19:00","","","","","","","13.82","-819.50"
"9.1","2023-12-22"," 09:18:00","2023-12-22"," 12:19:00","CE","71200","Buy","10","75.45","50.45","","-250.00"
"9.2","2023-12-22"," 09:24:00","2023-12-22"," 12:19:00","PE","70600","Buy","10","76.50","19.55","","-569.50"
"10","2023-12-26"," 09:16:00","2023-12-26"," 15:15:00","","","","","","","14.42","-421.50"
"10.1","2023-12-26"," 09:18:00","2023-12-26"," 15:15:00","CE","72800","Buy","10","87.95","45.80","","-421.50"
"11","2023-12-28"," 09:16:00","2023-12-28"," 15:15:00","","","","","","","15.64","-622.50"
"11.1","2023-12-28"," 09:22:00","2023-12-28"," 15:15:00","CE","73300","Buy","10","70.55","8.30","","-622.50"
"12","2024-01-01"," 09:16:00","2024-01-01"," 15:15:00","","","","","","","14.83","-384.50"
"12.1","2024-01-01"," 14:51:00","2024-01-01"," 15:15:00","CE","74000","Buy","10","73.70","35.25","","-384.50"
"13","2024-01-02"," 09:16:00","2024-01-02"," 15:15:00","","","","","","","14.87","-242.50"
"13.1","2024-01-02"," 10:28:00","2024-01-02"," 15:15:00","PE","70500","Buy","10","75.90","51.65","","-242.50"
"14","2024-01-04"," 09:16:00","2024-01-04"," 15:15:00","","","","","","","14.04","-213.00"
"14.1","2024-01-04"," 09:30:00","2024-01-04"," 15:15:00","CE","72200","Buy","10","69.45","48.15","","-213.00"
"15","2024-01-05"," 09:16:00","2024-01-05"," 15:15:00","","","","","","","13.31","-682.00"
