Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
1,2023-12-07,,09:16:00,69453.19,,,,,2023-12-07,,15:15:00,69508.89,-471.5,,,0,-487.54999999999995,Exit Condition Met For Trade
1.1,2023-12-07,Thursday,11:06:00,72.05,10,CE,70000.0,Buy,2023-12-07,Thursday,15:15:00,24.9,-471.5,-65.44066620402498,2023-12-08,,,Exit Condition Met For Trade
2,2023-12-08,,09:16:00,69661.43,,,,,2023-12-08,,15:15:00,69890.34,750.0,,,750.0,-0.05,Exit Condition Met For Trade
2.1,2023-12-08,Friday,09:25:00,61.95,10,CE,69800.0,Buy,2023-12-08,Friday,09:51:00,136.95,749.9999999999999,121.0653753026634,2023-12-08,,,Target Hit
3,2023-12-11,,09:16:00,69906.96,,,,,2023-12-11,,15:15:00,69927.51,-249.5,,,0,-292.04999999999995,Exit Condition Met For Trade
3.2,2023-12-11,Monday,09:17:00,78.15,10,PE,68800.0,Buy,2023-12-11,Monday,15:15:00,53.2,-249.50000000000003,-31.92578374920026,2023-12-15,,,Exit Condition Met For Trade
4,2023-12-12,,09:16:00,70004.94,,,,,2023-12-12,,15:15:00,69557.39,-24.5,,,180.95000000000005,-137.54999999999995,Exit Condition Met For Trade
4.2,2023-12-12,Tuesday,14:43:00,62.45,10,PE,68900.0,Buy,2023-12-12,Tuesday,15:15:00,60.0,-24.50000000000003,-3.923138510808651,2023-12-15,,,Exit Condition Met For Trade
5,2023-12-13,,09:16:00,69486.87,,,,,2023-12-13,,15:15:00,69578.43,-345.5,,,409.45000000000005,-351.54999999999995,Exit Condition Met For Trade
5.2,2023-12-13,Wednesday,09:55:00,66.05,10,PE,68900.0,Buy,2023-12-13,Wednesday,15:15:00,31.5,-345.5,-52.308856926570776,2023-12-15,,,Exit Condition Met For Trade
6,2023-12-14,,09:16:00,70161.02,,,,,2023-12-14,,09:52:00,70440.95,470.5,,,470.5,-6.5499999999999545,Square Off All Legs due to Target Profit
6.1,2023-12-14,Thursday,09:17:00,75.05,10,CE,70600.0,Buy,2023-12-14,Thursday,09:52:00,150.05,750.0000000000001,99.93337774816791,2023-12-15,,,Target Hit
6.2,2023-12-14,Thursday,09:26:00,57.8,10,PE,69900.0,Buy,2023-12-14,Thursday,09:52:00,29.85,-279.49999999999994,-48.35640138408304,2023-12-15,,,Square Off All Legs due to Target Profit
7,2023-12-15,,09:16:00,70791.36,,,,,2023-12-15,,10:25:00,71064.09,338.5,,,338.5,-323.04999999999995,Square Off All Legs due to Target Profit
7.1,2023-12-15,Friday,09:17:00,50.2,10,CE,71000.0,Buy,2023-12-15,Friday,10:25:00,125.2,750.0,149.402390438247,2023-12-15,,,Target Hit
7.2,2023-12-15,Friday,09:24:00,78.5,10,PE,70700.0,Buy,2023-12-15,Friday,10:25:00,37.35,-411.5,-52.4203821656051,2023-12-15,,,Square Off All Legs due to Target Profit
8,2023-12-18,,09:16:00,71164.17,,,,,2023-12-18,,15:15:00,71321.25,-337.5,,,210.45000000000005,-432.04999999999995,Exit Condition Met For Trade
8.1,2023-12-18,Monday,09:25:00,78.9,10,CE,73000.0,Buy,2023-12-18,Monday,15:15:00,59.25,-196.50000000000006,-24.904942965779473,2023-12-22,,,Exit Condition Met For Trade
8.2,2023-12-18,Monday,09:19:00,62.5,10,PE,69500.0,Buy,2023-12-18,Monday,15:15:00,48.4,-141.0,-22.560000000000002,2023-12-22,,,Exit Condition Met For Trade
9,2023-12-20,,09:16:00,71754.52,,,,,2023-12-20,,13:35:00,71107.82,330.0,,,330.0,-504.54999999999995,Square Off All Legs due to Target Profit
9.1,2023-12-20,Wednesday,09:37:00,68.75,10,CE,72800.0,Buy,2023-12-20,Wednesday,13:35:00,26.75,-420.0,-61.09090909090909,2023-12-22,,,Square Off All Legs due to Target Profit
9.2,2023-12-20,Wednesday,11:53:00,67.25,10,PE,70800.0,Buy,2023-12-20,Wednesday,13:35:00,142.25,750.0,111.52416356877323,2023-12-22,,,Target Hit
10,2023-12-21,,09:16:00,70098.45,,,,,2023-12-21,,11:03:00,70582.85,296.5,,,296.5,-469.54999999999995,Square Off All Legs due to Target Profit
10.1,2023-12-21,Thursday,09:18:00,66.05,10,CE,70900.0,Buy,2023-12-21,Thursday,11:03:00,141.05,750.0000000000001,113.55034065102198,2023-12-22,,,Target Hit
10.2,2023-12-21,Thursday,09:17:00,62.5,10,PE,68700.0,Buy,2023-12-21,Thursday,11:03:00,17.15,-453.5,-72.56,2023-12-22,,,Square Off All Legs due to Target Profit
11,2023-12-22,,09:16:00,70892.04,,,,,2023-12-22,,09:53:00,71084.31,453.5,,,453.5,-170.04999999999995,Square Off All Legs due to Target Profit
11.1,2023-12-22,Friday,09:17:00,62.9,10,CE,71200.0,Buy,2023-12-22,Friday,09:53:00,137.9,750.0,119.2368839427663,2023-12-22,,,Target Hit
11.2,2023-12-22,Friday,09:17:00,63.75,10,PE,70600.0,Buy,2023-12-22,Friday,09:53:00,34.1,-296.5,-46.509803921568626,2023-12-22,,,Square Off All Legs due to Target Profit
12,2023-12-26,,09:16:00,71088.27,,,,,2023-12-26,,15:15:00,71319.84,-753.0,,,0,-762.05,Exit Condition Met For Trade
12.1,2023-12-26,Tuesday,09:18:00,87.95,10,CE,72800.0,Buy,2023-12-26,Tuesday,15:15:00,45.8,-421.50000000000006,-47.92495736213759,2023-12-29,,,Exit Condition Met For Trade
12.2,2023-12-26,Tuesday,09:17:00,60.0,10,PE,69000.0,Buy,2023-12-26,Tuesday,15:15:00,26.85,-331.5,-55.25,2023-12-29,,,Exit Condition Met For Trade
13,2023-12-27,,09:16:00,71612.99,,,,,2023-12-27,,15:15:00,72083.49,-3.5,,,65.95000000000005,-32.049999999999955,Exit Condition Met For Trade
13.1,2023-12-27,Wednesday,15:07:00,61.4,10,CE,73100.0,Buy,2023-12-27,Wednesday,15:15:00,61.05,-3.500000000000014,-0.5700325732899046,2023-12-29,,,Exit Condition Met For Trade
14,2023-12-28,,09:16:00,72216.59,,,,,2023-12-28,,15:15:00,72405.87,-1079.0,,,227.45000000000005,-1079.0,Exit Condition Met For Trade
14.1,2023-12-28,Thursday,09:21:00,58.8,10,CE,73300.0,Buy,2023-12-28,Thursday,15:15:00,8.3,-505.0,-85.8843537414966,2023-12-29,,,Exit Condition Met For Trade
14.2,2023-12-28,Thursday,10:08:00,62.55,10,PE,71100.0,Buy,2023-12-28,Thursday,15:15:00,5.15,-574.0,-91.76658673061551,2023-12-29,,,Exit Condition Met For Trade
15,2024-01-01,,09:16:00,72134.08,,,,,2024-01-01,,15:15:00,72194.55,-262.0,,,163.45000000000005,-273.04999999999995,Exit Condition Met For Trade
15.1,2024-01-01,Monday,14:50:00,61.45,10,CE,74000.0,Buy,2024-01-01,Monday,15:15:00,35.25,-262.0,-42.63628966639545,2024-01-05,,,Exit Condition Met For Trade
16,2024-01-02,,09:16:00,72150.56,,,,,2024-01-02,,15:15:00,71886.1,-116.0,,,562.45,-252.54999999999995,Exit Condition Met For Trade
16.2,2024-01-02,Tuesday,09:17:00,63.25,10,PE,70500.0,Buy,2024-01-02,Tuesday,15:15:00,51.65,-116.00000000000001,-18.339920948616605,2024-01-05,,,Exit Condition Met For Trade
17,2024-01-04,,09:16:00,71595.38,,,,,2024-01-04,,15:15:00,71830.94,-97.5,,,305.95000000000005,-174.04999999999995,Exit Condition Met For Trade
17.1,2024-01-04,Thursday,09:21:00,57.9,10,CE,72200.0,Buy,2024-01-04,Thursday,15:15:00,48.15,-97.5,-16.83937823834197,2024-01-05,,,Exit Condition Met For Trade
18,2024-01-05,,09:16:00,72121.89,,,,,2024-01-05,,15:10:00,72007.46,-1317.0,,,0,-1317.05,Square Off All Legs due to Stop Loss
18.1,2024-01-05,Friday,09:28:00,75.55,10,CE,72200.0,Buy,2024-01-05,Friday,15:10:00,0.55,-750.0,-99.27200529450695,2024-01-05,,,Stop Loss Hit
18.2,2024-01-05,Friday,10:44:00,57.2,10,PE,71900.0,Buy,2024-01-05,Friday,15:10:00,0.5,-567.0,-99.12587412587412,2024-01-05,,,Square Off All Legs due to Stop Loss
19,2024-01-08,,09:16:00,72079.35,,,,,2024-01-08,,15:15:00,71362.3,750.0,,,750.0,-439.04999999999995,Exit Condition Met For Trade
19.2,2024-01-08,Monday,09:17:00,95.0,10,PE,70700.0,Buy,2024-01-08,Monday,14:34:00,170.0,750.0,78.94736842105263,2024-01-12,,,Target Hit
20,2024-01-09,,09:16:00,71767.86,,,,,2024-01-09,,14:29:00,71485.5,330.0,,,330.0,-268.54999999999995,Square Off All Legs due to Target Profit
20.1,2024-01-09,Tuesday,09:27:00,64.45,10,CE,73000.0,Buy,2024-01-09,Tuesday,14:29:00,22.45,-420.0,-65.166795965865,2024-01-12,,,Square Off All Legs due to Target Profit
20.2,2024-01-09,Tuesday,09:21:00,63.9,10,PE,70800.0,Buy,2024-01-09,Tuesday,14:29:00,138.9,750.0,117.37089201877934,2024-01-12,,,Target Hit
21,2024-01-10,,09:16:00,71359.25,,,,,2024-01-10,,15:15:00,71630.27,-593.5,,,0,-686.05,Exit Condition Met For Trade
21.1,2024-01-10,Wednesday,09:19:00,64.5,10,CE,72400.0,Buy,2024-01-10,Wednesday,15:15:00,54.5,-100.0,-15.503875968992247,2024-01-12,,,Exit Condition Met For Trade
21.2,2024-01-10,Wednesday,09:31:00,61.45,10,PE,69900.0,Buy,2024-01-10,Wednesday,15:15:00,12.1,-493.5,-80.30919446704638,2024-01-12,,,Exit Condition Met For Trade
22,2024-01-11,,09:16:00,71924.82,,,,,2024-01-11,,15:15:00,71726.94,-704.0,,,0,-745.55,Exit Condition Met For Trade
22.1,2024-01-11,Thursday,09:20:00,67.55,10,CE,72500.0,Buy,2024-01-11,Thursday,15:15:00,13.35,-542.0,-80.23686158401185,2024-01-12,,,Exit Condition Met For Trade
22.2,2024-01-11,Thursday,09:18:00,59.5,10,PE,71300.0,Buy,2024-01-11,Thursday,15:15:00,43.3,-162.00000000000003,-27.226890756302524,2024-01-12,,,Exit Condition Met For Trade
23,2024-01-12,,09:16:00,72036.33,,,,,2024-01-12,,10:05:00,72221.23,459.5,,,459.5,-326.54999999999995,Square Off All Legs due to Target Profit
23.1,2024-01-12,Friday,10:01:00,73.3,10,CE,72200.0,Buy,2024-01-12,Friday,10:05:00,148.3,750.0000000000001,102.31923601637111,2024-01-12,,,Target Hit
23.2,2024-01-12,Friday,09:28:00,59.3,10,PE,71800.0,Buy,2024-01-12,Friday,10:05:00,30.25,-290.5,-48.98819561551433,2024-01-12,,,Square Off All Legs due to Target Profit
24,2024-01-15,,09:16:00,73049.48,,,,,2024-01-15,,15:15:00,73290.25,-223.0,,,0,-351.04999999999995,Exit Condition Met For Trade
24.1,2024-01-15,Monday,09:18:00,62.5,10,CE,75000.0,Buy,2024-01-15,Monday,15:15:00,40.2,-222.99999999999997,-35.67999999999999,2024-01-19,,,Exit Condition Met For Trade
25,2024-01-16,,09:16:00,73202.47,,,,,2024-01-16,,15:15:00,73140.19,-297.5,,,71.45000000000005,-370.54999999999995,Exit Condition Met For Trade
25.1,2024-01-16,Tuesday,09:49:00,66.2,10,CE,74500.0,Buy,2024-01-16,Tuesday,15:15:00,36.45,-297.5,-44.93957703927492,2024-01-19,,,Exit Condition Met For Trade
26,2024-01-17,,09:16:00,72249.05,,,,,2024-01-17,,12:06:00,71737.13,760.0,,,760.0,-291.54999999999995,Square Off All Legs due to Target Profit
26.1,2024-01-17,Wednesday,09:17:00,50.0,10,CE,73500.0,Buy,2024-01-17,Wednesday,12:06:00,51.0,10.0,2.0,2024-01-19,,,Square Off All Legs due to Target Profit
26.2,2024-01-17,Wednesday,09:17:00,71.45,10,PE,70800.0,Buy,2024-01-17,Wednesday,12:06:00,146.45,749.9999999999999,104.96850944716581,2024-01-19,,,Target Hit
27,2024-01-18,,09:16:00,71099.24,,,,,2024-01-18,,09:53:00,70734.67,428.5,,,428.5,-205.04999999999995,Square Off All Legs due to Target Profit
27.1,2024-01-18,Thursday,09:20:00,63.55,10,CE,72100.0,Buy,2024-01-18,Thursday,09:53:00,31.4,-321.5,-50.590086546026754,2024-01-19,,,Square Off All Legs due to Target Profit
27.2,2024-01-18,Thursday,09:17:00,67.6,10,PE,69900.0,Buy,2024-01-18,Thursday,09:53:00,142.6,750.0,110.94674556213019,2024-01-19,,,Target Hit
28,2024-01-19,,09:16:00,71758.48,,,,,2024-01-19,,15:15:00,71678.55,-1251.0,,,17.950000000000045,-1251.0,Exit Condition Met For Trade
28.1,2024-01-19,Friday,09:17:00,60.4,10,CE,72200.0,Buy,2024-01-19,Friday,15:15:00,0.25,-601.5,-99.58609271523179,2024-01-19,,,Exit Condition Met For Trade
28.2,2024-01-19,Friday,09:33:00,65.2,10,PE,71500.0,Buy,2024-01-19,Friday,15:15:00,0.25,-649.5,-99.61656441717791,2024-01-19,,,Exit Condition Met For Trade
29,2024-01-20,,09:16:00,71996.71,,,,,2024-01-20,,15:15:00,71461.91,-486.0,,,26.450000000000045,-596.55,Exit Condition Met For Trade
29.1,2024-01-20,Saturday,09:19:00,65.65,10,CE,73800.0,Buy,2024-01-20,Saturday,15:15:00,31.95,-337.0,-51.33282559025133,2024-01-25,,,Exit Condition Met For Trade
29.2,2024-01-20,Saturday,09:40:00,60.0,10,PE,69600.0,Buy,2024-01-20,Saturday,15:15:00,45.1,-149.0,-24.83333333333333,2024-01-25,,,Exit Condition Met For Trade
30,2024-01-23,,09:16:00,71967.06,,,,,2024-01-23,,15:15:00,70384.73,750.0,,,750.0,-93.04999999999995,Exit Condition Met For Trade
30.2,2024-01-23,Tuesday,09:26:00,65.6,10,PE,70900.0,Buy,2024-01-23,Tuesday,10:25:00,140.6,750.0,114.32926829268294,2024-01-25,,,Target Hit
31,2024-01-24,,09:16:00,70251.67,,,,,2024-01-24,,09:40:00,70455.03,415.0,,,415.0,-4.5499999999999545,Square Off All Legs due to Target Profit
31.1,2024-01-24,Wednesday,09:17:00,61.25,10,CE,71200.0,Buy,2024-01-24,Wednesday,09:40:00,136.25,750.0,122.44897959183673,2024-01-25,,,Target Hit
31.2,2024-01-24,Wednesday,09:20:00,62.2,10,PE,68600.0,Buy,2024-01-24,Wednesday,09:40:00,28.7,-335.0,-53.858520900321544,2024-01-25,,,Square Off All Legs due to Target Profit
32,2024-01-25,,09:16:00,70919.47,,,,,2024-01-25,,15:15:00,70645.82,750.0,,,750.0,-219.04999999999995,Exit Condition Met For Trade
32.2,2024-01-25,Thursday,09:24:00,63.7,10,PE,70300.0,Buy,2024-01-25,Thursday,10:20:00,138.7,749.9999999999999,117.73940345368914,2024-01-25,,,Target Hit
33,2024-01-29,,09:16:00,71102.14,,,,,2024-01-29,,15:15:00,71929.92,750.0,,,750.0,-26.549999999999955,Exit Condition Met For Trade
33.1,2024-01-29,Monday,09:18:00,81.05,10,CE,73500.0,Buy,2024-01-29,Monday,12:06:00,156.05,750.0000000000001,92.53547193090688,2024-02-02,,,Target Hit
34,2024-01-31,,09:16:00,70965.92,,,,,2024-01-31,,15:15:00,71765.74,244.5,,,244.5,-74.04999999999995,Exit Condition Met For Trade
34.1,2024-01-31,Wednesday,10:12:00,51.45,10,CE,74100.0,Buy,2024-01-31,Wednesday,15:15:00,75.9,244.50000000000003,47.52186588921283,2024-02-02,,,Exit Condition Met For Trade
35,2024-02-01,,09:16:00,71797.71,,,,,2024-02-01,,15:15:00,71619.17,-599.5,,,328.95000000000005,-599.55,Exit Condition Met For Trade
35.2,2024-02-01,Thursday,09:17:00,63.9,10,PE,69700.0,Buy,2024-02-01,Thursday,15:15:00,3.95,-599.5,-93.81846635367762,2024-02-02,,,Exit Condition Met For Trade
36,2024-02-02,,09:16:00,72159.81,,,,,2024-02-02,,15:15:00,72076.5,750.0,,,750.0,-0.05,Exit Condition Met For Trade
