"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2023-12-07"," 09:16:00","2023-12-07"," 15:15:00","","","","","","","13.26","-471.50"
"1.1","2023-12-07"," 11:06:00","2023-12-07"," 15:15:00","CE","70000","Buy","10","72.05","24.90","","-471.50"
"2","2023-12-08"," 09:16:00","2023-12-08"," 15:15:00","","","","","","","12.60","750.00"
"2.1","2023-12-08"," 09:25:00","2023-12-08"," 09:51:00","CE","69800","Buy","10","61.95","136.95","","750.00"
"3","2023-12-11"," 09:16:00","2023-12-11"," 15:15:00","","","","","","","13.03","-249.50"
"3.1","2023-12-11"," 09:17:00","2023-12-11"," 15:15:00","PE","68800","Buy","10","78.15","53.20","","-249.50"
"4","2023-12-12"," 09:16:00","2023-12-12"," 15:15:00","","","","","","","12.75","-24.50"
"4.1","2023-12-12"," 14:43:00","2023-12-12"," 15:15:00","PE","68900","Buy","10","62.45","60.00","","-24.50"
"5","2023-12-13"," 09:16:00","2023-12-13"," 15:15:00","","","","","","","12.62","-345.50"
"5.1","2023-12-13"," 09:55:00","2023-12-13"," 15:15:00","PE","68900","Buy","10","66.05","31.50","","-345.50"
"6","2023-12-14"," 09:16:00","2023-12-14"," 09:52:00","","","","","","","11.86","470.50"
"6.1","2023-12-14"," 09:17:00","2023-12-14"," 09:52:00","CE","70600","Buy","10","75.05","150.05","","750.00"
"6.2","2023-12-14"," 09:26:00","2023-12-14"," 09:52:00","PE","69900","Buy","10","57.80","29.85","","-279.50"
"7","2023-12-15"," 09:16:00","2023-12-15"," 10:25:00","","","","","","","12.12","338.50"
"7.1","2023-12-15"," 09:17:00","2023-12-15"," 10:25:00","CE","71000","Buy","10","50.20","125.20","","750.00"
"7.2","2023-12-15"," 09:24:00","2023-12-15"," 10:25:00","PE","70700","Buy","10","78.50","37.35","","-411.50"
"8","2023-12-18"," 09:16:00","2023-12-18"," 15:15:00","","","","","","","13.52","-337.50"
"8.1","2023-12-18"," 09:25:00","2023-12-18"," 15:15:00","CE","73000","Buy","10","78.90","59.25","","-196.50"
"8.2","2023-12-18"," 09:19:00","2023-12-18"," 15:15:00","PE","69500","Buy","10","62.50","48.40","","-141.00"
"9","2023-12-20"," 09:16:00","2023-12-20"," 13:35:00","","","","","","","14.02","330.00"
"9.1","2023-12-20"," 09:37:00","2023-12-20"," 13:35:00","CE","72800","Buy","10","68.75","26.75","","-420.00"
"9.2","2023-12-20"," 11:53:00","2023-12-20"," 13:35:00","PE","70800","Buy","10","67.25","142.25","","750.00"
"10","2023-12-21"," 09:16:00","2023-12-21"," 11:03:00","","","","","","","14.55","296.50"
"10.1","2023-12-21"," 09:18:00","2023-12-21"," 11:03:00","CE","70900","Buy","10","66.05","141.05","","750.00"
"10.2","2023-12-21"," 09:17:00","2023-12-21"," 11:03:00","PE","68700","Buy","10","62.50","17.15","","-453.50"
"11","2023-12-22"," 09:16:00","2023-12-22"," 09:53:00","","","","","","","13.82","453.50"
"11.1","2023-12-22"," 09:17:00","2023-12-22"," 09:53:00","CE","71200","Buy","10","62.90","137.90","","750.00"
"11.2","2023-12-22"," 09:17:00","2023-12-22"," 09:53:00","PE","70600","Buy","10","63.75","34.10","","-296.50"
"12","2023-12-26"," 09:16:00","2023-12-26"," 15:15:00","","","","","","","14.42","-753.00"
"12.1","2023-12-26"," 09:18:00","2023-12-26"," 15:15:00","CE","72800","Buy","10","87.95","45.80","","-421.50"
"12.2","2023-12-26"," 09:17:00","2023-12-26"," 15:15:00","PE","69000","Buy","10","60.00","26.85","","-331.50"
"13","2023-12-27"," 09:16:00","2023-12-27"," 15:15:00","","","","","","","14.73","-3.50"
"13.1","2023-12-27"," 15:07:00","2023-12-27"," 15:15:00","CE","73100","Buy","10","61.40","61.05","","-3.50"
"14","2023-12-28"," 09:16:00","2023-12-28"," 15:15:00","","","","","","","15.64","-1079.00"
"14.1","2023-12-28"," 09:21:00","2023-12-28"," 15:15:00","CE","73300","Buy","10","58.80","8.30","","-505.00"
"14.2","2023-12-28"," 10:08:00","2023-12-28"," 15:15:00","PE","71100","Buy","10","62.55","5.15","","-574.00"
"15","2024-01-01"," 09:16:00","2024-01-01"," 15:15:00","","","","","","","14.83","-262.00"
"15.1","2024-01-01"," 14:50:00","2024-01-01"," 15:15:00","CE","74000","Buy","10","61.45","35.25","","-262.00"
"16","2024-01-02"," 09:16:00","2024-01-02"," 15:15:00","","","","","","","14.87","-116.00"
"16.1","2024-01-02"," 09:17:00","2024-01-02"," 15:15:00","PE","70500","Buy","10","63.25","51.65","","-116.00"
"17","2024-01-04"," 09:16:00","2024-01-04"," 15:15:00","","","","","","","14.04","-97.50"
"17.1","2024-01-04"," 09:21:00","2024-01-04"," 15:15:00","CE","72200","Buy","10","57.90","48.15","","-97.50"
"18","2024-01-05"," 09:16:00","2024-01-05"," 15:10:00","","","","","","","13.31","-1317.00"
"18.1","2024-01-05"," 09:28:00","2024-01-05"," 15:10:00","CE","72200","Buy","10","75.55","0.55","","-750.00"
"18.2","2024-01-05"," 10:44:00","2024-01-05"," 15:10:00","PE","71900","Buy","10","57.20","0.50","","-567.00"
"19","2024-01-08"," 09:16:00","2024-01-08"," 15:15:00","","","","","","","13.12","750.00"
"19.1","2024-01-08"," 09:17:00","2024-01-08"," 14:34:00","PE","70700","Buy","10","95.00","170.00","","750.00"
"20","2024-01-09"," 09:16:00","2024-01-09"," 14:29:00","","","","","","","12.92","330.00"
"20.1","2024-01-09"," 09:27:00","2024-01-09"," 14:29:00","CE","73000","Buy","10","64.45","22.45","","-420.00"
"20.2","2024-01-09"," 09:21:00","2024-01-09"," 14:29:00","PE","70800","Buy","10","63.90","138.90","","750.00"
"21","2024-01-10"," 09:16:00","2024-01-10"," 15:15:00","","","","","","","13.44","-593.50"
"21.1","2024-01-10"," 09:19:00","2024-01-10"," 15:15:00","CE","72400","Buy","10","64.50","54.50","","-100.00"
"21.2","2024-01-10"," 09:31:00","2024-01-10"," 15:15:00","PE","69900","Buy","10","61.45","12.10","","-493.50"
