"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2023-12-08"," 09:16:00","2023-12-08"," 15:15:00","","","","","","","12.60","250.00"
"1.1","2023-12-08"," 09:25:00","2023-12-08"," 09:43:00","CE","69800","Buy","10","74.30","99.30","","250.00"
"2","2023-12-12"," 09:16:00","2023-12-12"," 15:15:00","","","","","","","12.75","-200.00"
"2.1","2023-12-12"," 14:45:00","2023-12-12"," 15:05:00","PE","68900","Buy","10","74.95","54.95","","-200.00"
"3","2023-12-13"," 09:16:00","2023-12-13"," 15:15:00","","","","","","","12.62","-200.00"
"3.1","2023-12-13"," 09:59:00","2023-12-13"," 11:03:00","PE","68900","Buy","10","79.30","59.30","","-200.00"
"4","2023-12-14"," 09:16:00","2023-12-14"," 15:15:00","","","","","","","11.86","250.00"
"4.1","2023-12-14"," 09:17:00","2023-12-14"," 09:20:00","CE","70600","Buy","10","90.05","115.05","","250.00"
"5","2023-12-15"," 09:16:00","2023-12-15"," 15:15:00","","","","","","","12.12","250.00"
"5.1","2023-12-15"," 09:25:00","2023-12-15"," 09:30:00","PE","70700","Buy","10","94.20","119.20","","250.00"
"6","2023-12-18"," 09:16:00","2023-12-18"," 15:15:00","","","","","","","13.52","250.00"
"6.1","2023-12-18"," 09:25:00","2023-12-18"," 09:31:00","CE","73000","Buy","10","78.90","103.90","","250.00"
"7","2023-12-20"," 09:16:00","2023-12-20"," 15:15:00","","","","","","","14.02","250.00"
"7.1","2023-12-20"," 13:25:00","2023-12-20"," 13:28:00","PE","70800","Buy","10","80.70","105.70","","250.00"
"8","2023-12-21"," 09:16:00","2023-12-21"," 15:15:00","","","","","","","14.55","-231.00"
"8.1","2023-12-21"," 09:17:00","2023-12-21"," 09:18:00","PE","68700","Buy","10","75.00","51.90","","-231.00"
"9","2023-12-22"," 09:16:00","2023-12-22"," 15:15:00","","","","","","","13.82","-200.00"
"9.1","2023-12-22"," 09:18:00","2023-12-22"," 09:21:00","CE","71200","Buy","10","75.45","55.45","","-200.00"
"10","2023-12-26"," 09:16:00","2023-12-26"," 15:15:00","","","","","","","14.42","-200.00"
"10.1","2023-12-26"," 09:18:00","2023-12-26"," 09:19:00","CE","72800","Buy","10","87.95","67.95","","-200.00"
"11","2023-12-28"," 09:16:00","2023-12-28"," 15:15:00","","","","","","","15.64","-200.00"
"11.1","2023-12-28"," 09:22:00","2023-12-28"," 10:05:00","CE","73300","Buy","10","70.55","50.55","","-200.00"
"12","2024-01-01"," 09:16:00","2024-01-01"," 15:15:00","","","","","","","14.83","-200.00"
"12.1","2024-01-01"," 14:51:00","2024-01-01"," 15:02:00","CE","74000","Buy","10","73.70","53.70","","-200.00"
"13","2024-01-02"," 09:16:00","2024-01-02"," 15:15:00","","","","","","","14.87","250.00"
"13.1","2024-01-02"," 10:28:00","2024-01-02"," 10:38:00","PE","70500","Buy","10","75.90","100.90","","250.00"
"14","2024-01-04"," 09:16:00","2024-01-04"," 15:15:00","","","","","","","14.04","250.00"
"14.1","2024-01-04"," 09:30:00","2024-01-04"," 12:48:00","CE","72200","Buy","10","69.45","94.45","","250.00"
"15","2024-01-05"," 09:16:00","2024-01-05"," 15:15:00","","","","","","","13.31","-200.00"
