Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
1,2023-12-07,,09:16:00,69453.19,,,,,2023-12-07,,15:15:00,69508.89,-200.0,,,0,-200.04999999999995,Exit Condition Met For Trade
1.1,2023-12-07,Thursday,11:06:00,72.05,10,CE,70000.0,Buy,2023-12-07,Thursday,11:19:00,52.05,-200.0,-27.75850104094379,2023-12-08,,,Stop Loss Hit
2,2023-12-08,,09:16:00,69661.43,,,,,2023-12-08,,15:15:00,69890.34,750.0,,,750.0,-0.05,Exit Condition Met For Trade
2.1,2023-12-08,Friday,09:25:00,61.95,10,CE,69800.0,Buy,2023-12-08,Friday,09:51:00,136.95,749.9999999999999,121.0653753026634,2023-12-08,,,Target Hit
3,2023-12-11,,09:16:00,69906.96,,,,,2023-12-11,,15:15:00,69927.51,-200.0,,,0,-200.04999999999995,Exit Condition Met For Trade
3.2,2023-12-11,Monday,09:17:00,78.15,10,PE,68800.0,Buy,2023-12-11,Monday,09:25:00,58.15,-200.00000000000006,-25.591810620601414,2023-12-15,,,Stop Loss Hit
4,2023-12-12,,09:16:00,70004.94,,,,,2023-12-12,,15:15:00,69557.39,-24.5,,,180.95000000000005,-137.54999999999995,Exit Condition Met For Trade
4.2,2023-12-12,Tuesday,14:43:00,62.45,10,PE,68900.0,Buy,2023-12-12,Tuesday,15:15:00,60.0,-24.50000000000003,-3.923138510808651,2023-12-15,,,Exit Condition Met For Trade
5,2023-12-13,,09:16:00,69486.87,,,,,2023-12-13,,15:15:00,69578.43,-200.0,,,409.45000000000005,-200.04999999999995,Exit Condition Met For Trade
5.2,2023-12-13,Wednesday,09:55:00,66.05,10,PE,68900.0,Buy,2023-12-13,Wednesday,13:42:00,46.05,-200.0,-30.28009084027252,2023-12-15,,,Stop Loss Hit
6,2023-12-14,,09:16:00,70161.02,,,,,2023-12-14,,09:32:00,70364.19,171.0,,,366.95000000000005,-0.049999999999954525,Square Off All Legs due to Stop Loss
6.1,2023-12-14,Thursday,09:17:00,75.05,10,CE,70600.0,Buy,2023-12-14,Thursday,09:32:00,112.15,371.0000000000001,49.433710859427066,2023-12-15,,,Square Off All Legs due to Stop Loss
6.2,2023-12-14,Thursday,09:26:00,57.8,10,PE,69900.0,Buy,2023-12-14,Thursday,09:32:00,37.8,-200.0,-34.602076124567475,2023-12-15,,,Stop Loss Hit
7,2023-12-15,,09:16:00,70791.36,,,,,2023-12-15,,15:15:00,71464.3,-200.0,,,0,-200.05,Exit Condition Met For Trade
7.1,2023-12-15,Friday,09:17:00,50.2,10,CE,71000.0,Buy,2023-12-15,Friday,09:24:00,30.2,-200.00000000000003,-39.84063745019921,2023-12-15,,,Stop Loss Hit
8,2023-12-18,,09:16:00,71164.17,,,,,2023-12-18,,10:07:00,71398.39,-325.5,,,210.45000000000005,-325.54999999999995,Square Off All Legs due to Stop Loss
8.1,2023-12-18,Monday,09:25:00,78.9,10,CE,73000.0,Buy,2023-12-18,Monday,10:07:00,58.9,-200.00000000000006,-25.348542458808627,2023-12-22,,,Stop Loss Hit
8.2,2023-12-18,Monday,09:19:00,62.5,10,PE,69500.0,Buy,2023-12-18,Monday,10:07:00,49.95,-125.49999999999997,-20.079999999999995,2023-12-22,,,Square Off All Legs due to Stop Loss
9,2023-12-20,,09:16:00,71754.52,,,,,2023-12-20,,15:15:00,70489.62,-200.0,,,85.45000000000005,-200.04999999999995,Exit Condition Met For Trade
9.1,2023-12-20,Wednesday,09:37:00,68.75,10,CE,72800.0,Buy,2023-12-20,Wednesday,11:20:00,48.75,-200.0,-29.09090909090909,2023-12-22,,,Stop Loss Hit
10,2023-12-21,,09:16:00,70098.45,,,,,2023-12-21,,09:19:00,70320.66,130.0,,,130.0,-61.549999999999955,Square Off All Legs due to Stop Loss
10.1,2023-12-21,Thursday,09:18:00,66.05,10,CE,70900.0,Buy,2023-12-21,Thursday,09:19:00,99.05,330.0,49.96214988644966,2023-12-22,,,Square Off All Legs due to Stop Loss
10.2,2023-12-21,Thursday,09:17:00,62.5,10,PE,68700.0,Buy,2023-12-21,Thursday,09:19:00,42.5,-200.0,-32.0,2023-12-22,,,Stop Loss Hit
