Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
1,2023-12-08,,09:16:00,69661.43,,,,,2023-12-08,,15:15:00,69890.34,250.0,,,250.0,-92.54999999999995,Exit Condition Met For Trade
1.1,2023-12-08,Friday,09:25:00,74.3,10,CE,69800.0,Buy,2023-12-08,Friday,09:43:00,99.3,250.0,33.64737550471063,2023-12-08,,,Target Hit
2,2023-12-12,,09:16:00,70004.94,,,,,2023-12-12,,15:15:00,69557.39,-200.0,,,55.950000000000045,-200.04999999999995,Exit Condition Met For Trade
2.2,2023-12-12,Tuesday,14:45:00,74.95,10,PE,68900.0,Buy,2023-12-12,Tuesday,15:05:00,54.95,-200.0,-26.6844563042028,2023-12-15,,,Stop Loss Hit
3,2023-12-13,,09:16:00,69486.87,,,,,2023-12-13,,15:15:00,69578.43,-200.0,,,155.45000000000005,-200.04999999999995,Exit Condition Met For Trade
3.2,2023-12-13,Wednesday,09:59:00,79.3,10,PE,68900.0,Buy,2023-12-13,Wednesday,11:03:00,59.3,-200.0,-25.220680958385877,2023-12-15,,,Stop Loss Hit
4,2023-12-14,,09:16:00,70161.02,,,,,2023-12-14,,15:15:00,70460.39,250.0,,,250.0,-0.049999999999954525,Exit Condition Met For Trade
4.1,2023-12-14,Thursday,09:17:00,90.05,10,CE,70600.0,Buy,2023-12-14,Thursday,09:20:00,115.05,250.0,27.7623542476402,2023-12-15,,,Target Hit
5,2023-12-15,,09:16:00,70791.36,,,,,2023-12-15,,15:15:00,71464.3,250.0,,,250.0,-48.549999999999955,Exit Condition Met For Trade
5.2,2023-12-15,Friday,09:25:00,94.2,10,PE,70700.0,Buy,2023-12-15,Friday,09:30:00,119.2,250.0,26.53927813163482,2023-12-15,,,Target Hit
6,2023-12-18,,09:16:00,71164.17,,,,,2023-12-18,,15:15:00,71321.25,250.0,,,250.0,-10.549999999999955,Exit Condition Met For Trade
