"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2023-12-07"," 09:16:00","2023-12-07"," 15:15:00","","","","","","","13.26","-200.00"
"1.1","2023-12-07"," 11:06:00","2023-12-07"," 11:19:00","CE","70000","Buy","10","72.05","52.05","","-200.00"
"2","2023-12-08"," 09:16:00","2023-12-08"," 15:15:00","","","","","","","12.60","750.00"
"2.1","2023-12-08"," 09:25:00","2023-12-08"," 09:51:00","CE","69800","Buy","10","61.95","136.95","","750.00"
"3","2023-12-11"," 09:16:00","2023-12-11"," 15:15:00","","","","","","","13.03","-200.00"
"3.1","2023-12-11"," 09:17:00","2023-12-11"," 09:25:00","PE","68800","Buy","10","78.15","58.15","","-200.00"
"4","2023-12-12"," 09:16:00","2023-12-12"," 15:15:00","","","","","","","12.75","-24.50"
"4.1","2023-12-12"," 14:43:00","2023-12-12"," 15:15:00","PE","68900","Buy","10","62.45","60.00","","-24.50"
"5","2023-12-13"," 09:16:00","2023-12-13"," 15:15:00","","","","","","","12.62","-200.00"
"5.1","2023-12-13"," 09:55:00","2023-12-13"," 13:42:00","PE","68900","Buy","10","66.05","46.05","","-200.00"
"6","2023-12-14"," 09:16:00","2023-12-14"," 09:32:00","","","","","","","11.86","171.00"
"6.1","2023-12-14"," 09:17:00","2023-12-14"," 09:32:00","CE","70600","Buy","10","75.05","112.15","","371.00"
"6.2","2023-12-14"," 09:26:00","2023-12-14"," 09:32:00","PE","69900","Buy","10","57.80","37.80","","-200.00"
"7","2023-12-15"," 09:16:00","2023-12-15"," 15:15:00","","","","","","","12.12","-200.00"
"7.1","2023-12-15"," 09:17:00","2023-12-15"," 09:24:00","CE","71000","Buy","10","50.20","30.20","","-200.00"
"8","2023-12-18"," 09:16:00","2023-12-18"," 10:07:00","","","","","","","13.52","-325.50"
"8.1","2023-12-18"," 09:25:00","2023-12-18"," 10:07:00","CE","73000","Buy","10","78.90","58.90","","-200.00"
"8.2","2023-12-18"," 09:19:00","2023-12-18"," 10:07:00","PE","69500","Buy","10","62.50","49.95","","-125.50"
"9","2023-12-20"," 09:16:00","2023-12-20"," 15:15:00","","","","","","","14.02","-200.00"
"9.1","2023-12-20"," 09:37:00","2023-12-20"," 11:20:00","CE","72800","Buy","10","68.75","48.75","","-200.00"
"10","2023-12-21"," 09:16:00","2023-12-21"," 09:19:00","","","","","","","14.55","130.00"
"10.1","2023-12-21"," 09:18:00","2023-12-21"," 09:19:00","CE","70900","Buy","10","66.05","99.05","","330.00"
"10.2","2023-12-21"," 09:17:00","2023-12-21"," 09:19:00","PE","68700","Buy","10","62.50","42.50","","-200.00"
"11","2023-12-22"," 09:16:00","2023-12-22"," 09:19:00","","","","","","","13.82","-160.50"
"11.1","2023-12-22"," 09:17:00","2023-12-22"," 09:19:00","CE","71200","Buy","10","62.90","66.85","","39.50"
"11.2","2023-12-22"," 09:17:00","2023-12-22"," 09:19:00","PE","70600","Buy","10","63.75","43.75","","-200.00"
"12","2023-12-26"," 09:16:00","2023-12-26"," 09:19:00","","","","","","","14.42","-350.00"
"12.1","2023-12-26"," 09:18:00","2023-12-26"," 09:19:00","CE","72800","Buy","10","87.95","67.95","","-200.00"
"12.2","2023-12-26"," 09:17:00","2023-12-26"," 09:19:00","PE","69000","Buy","10","60.00","45.00","","-150.00"
"13","2023-12-27"," 09:16:00","2023-12-27"," 15:15:00","","","","","","","14.73","-3.50"
"13.1","2023-12-27"," 15:07:00","2023-12-27"," 15:15:00","CE","73100","Buy","10","61.40","61.05","","-3.50"
"14","2023-12-28"," 09:16:00","2023-12-28"," 11:01:00","","","","","","","15.64","-275.00"
"14.1","2023-12-28"," 09:21:00","2023-12-28"," 11:01:00","CE","73300","Buy","10","58.80","38.80","","-200.00"
"14.2","2023-12-28"," 10:08:00","2023-12-28"," 11:01:00","PE","71100","Buy","10","62.55","55.05","","-75.00"
"15","2024-01-01"," 09:16:00","2024-01-01"," 15:15:00","","","","","","","14.83","-200.00"
"15.1","2024-01-01"," 14:50:00","2024-01-01"," 15:09:00","CE","74000","Buy","10","61.45","41.45","","-200.00"
"16","2024-01-02"," 09:16:00","2024-01-02"," 15:15:00","","","","","","","14.87","-200.00"
"16.1","2024-01-02"," 09:17:00","2024-01-02"," 09:18:00","PE","70500","Buy","10","63.25","43.25","","-200.00"
"17","2024-01-04"," 09:16:00","2024-01-04"," 15:15:00","","","","","","","14.04","-97.50"
"17.1","2024-01-04"," 09:21:00","2024-01-04"," 15:15:00","CE","72200","Buy","10","57.90","48.15","","-97.50"
"18","2024-01-05"," 09:16:00","2024-01-05"," 15:15:00","","","","","","","13.31","-200.00"
"18.1","2024-01-05"," 09:28:00","2024-01-05"," 09:50:00","CE","72200","Buy","10","75.55","55.55","","-200.00"
"19","2024-01-08"," 09:16:00","2024-01-08"," 15:15:00","","","","","","","13.12","-204.50"
"19.1","2024-01-08"," 09:17:00","2024-01-08"," 09:18:00","PE","70700","Buy","10","95.00","74.55","","-204.50"
"20","2024-01-09"," 09:16:00","2024-01-09"," 09:43:00","","","","","","","12.92","63.50"
"20.1","2024-01-09"," 09:27:00","2024-01-09"," 09:43:00","CE","73000","Buy","10","64.45","44.45","","-200.00"
"20.2","2024-01-09"," 09:21:00","2024-01-09"," 09:43:00","PE","70800","Buy","10","63.90","90.25","","263.50"
"21","2024-01-10"," 09:16:00","2024-01-10"," 15:15:00","","","","","","","13.44","-200.00"
"21.1","2024-01-10"," 09:19:00","2024-01-10"," 09:29:00","CE","72400","Buy","10","64.50","44.50","","-200.00"
"22","2024-01-11"," 09:16:00","2024-01-11"," 09:43:00","","","","","","","12.90","-102.50"
"22.1","2024-01-11"," 09:20:00","2024-01-11"," 09:43:00","CE","72500","Buy","10","67.55","47.55","","-200.00"
"22.2","2024-01-11"," 09:18:00","2024-01-11"," 09:43:00","PE","71300","Buy","10","59.50","69.25","","97.50"
"23","2024-01-12"," 09:16:00","2024-01-12"," 15:15:00","","","","","","","12.76","-200.00"
"23.1","2024-01-12"," 09:28:00","2024-01-12"," 09:50:00","PE","71800","Buy","10","59.30","39.30","","-200.00"
"24","2024-01-15"," 09:16:00","2024-01-15"," 15:15:00","","","","","","","13.56","-200.00"
"24.1","2024-01-15"," 09:18:00","2024-01-15"," 09:43:00","CE","75000","Buy","10","62.50","42.50","","-200.00"
"25","2024-01-16"," 09:16:00","2024-01-16"," 15:15:00","","","","","","","13.78","-200.00"
"25.1","2024-01-16"," 09:49:00","2024-01-16"," 12:48:00","CE","74500","Buy","10","66.20","46.20","","-200.00"
