year,month,hour,PNL
2023,3,9,18843.75
2023,3,10,-798.75
2023,3,11,2205.0
2023,3,12,0.0
2023,4,9,8358.75
2023,4,10,3131.25
2023,4,11,-660.0
2023,4,13,0.0
2023,4,14,3.75
2023,5,9,6772.5
2023,5,10,10935.0
2023,5,11,-1323.75
2023,5,12,-1556.25
2023,5,13,-648.75
2023,5,14,-675.0
2023,5,15,0.0
2023,6,9,10717.5
2023,6,10,-772.5
2023,6,11,4751.25
2023,6,12,768.75
2023,6,13,866.25
2023,6,14,2482.5
2023,6,15,-495.0
2023,7,9,9472.5
2023,7,10,-768.75
2023,7,11,-3821.25
2023,7,12,-1402.5
2023,7,13,-1215.0
2023,7,14,0.0
2023,8,9,-2358.75
2023,8,10,-2058.75
2023,8,11,7777.5
2023,8,12,-465.0
2023,8,13,-1263.75
2023,8,14,716.25
2023,8,15,-22.5
2023,9,9,-1830.0
2023,9,10,-1931.25
2023,9,11,2628.75
2023,9,12,3345.0
2023,9,13,-483.75
2023,9,14,0.0
2023,10,9,2047.5
2023,10,10,1425.0
2023,10,11,0.0
2023,10,14,-978.75
2023,11,9,6750.0
2023,11,10,-1608.75
2023,11,11,2688.75
2023,11,12,9030.0
2023,11,13,-566.25
2023,11,14,2640.0
2023,12,9,-1087.5
2023,12,10,1800.0
2023,12,11,-1751.25
2023,12,12,10038.75
2023,12,13,0.0
2023,12,14,0.0
2024,1,9,8677.5
2024,1,10,6461.25
2024,1,11,-1080.0
2024,1,12,2632.5
2024,1,14,0.0
2024,2,9,9956.25
2024,2,10,-3213.75
2024,2,11,-1226.25
2024,2,12,-652.5
2024,2,13,-465.0
2024,3,9,8988.75
2024,3,10,-2988.75
2024,4,9,-8126.25
2024,4,10,3086.25
2024,4,11,885.0
2024,4,12,2325.0
2024,4,13,-2242.5
2024,5,9,-13653.75
2024,5,10,247.5
2024,5,11,1132.5
2024,5,12,-705.0
2024,5,13,-405.0
2024,5,14,1500.0
2024,5,15,0.0
2024,6,9,-4530.0
2024,6,10,5921.25
2024,6,11,-960.0
2024,6,12,2193.75
2024,6,13,0.0
2024,7,9,13541.25
2024,7,10,4526.25
2024,7,11,-1440.0
2024,7,13,0.0
2024,8,9,210.0
2024,8,10,-558.75
2024,8,11,-1031.25
2024,8,12,-1331.25
2024,8,14,-498.75
2024,9,9,6067.5
2024,9,10,633.75
2024,9,11,-217.5
2024,9,12,-498.75
2024,9,13,532.5
2024,9,15,1897.5
2024,10,9,4920.0
2024,10,10,2628.75
2024,10,11,-1196.25
2024,10,12,-570.0
2024,11,9,14321.25
2024,11,10,-551.25
2024,11,11,2730.0
2024,12,9,-1758.75
2024,12,10,3892.5
2024,12,12,-2227.5
2025,1,9,1252.5
2025,1,10,2021.25
2025,1,11,-1458.75
2025,1,12,4155.0
2025,1,13,-498.75
2025,2,9,2025.0
2025,2,10,-2553.75
2025,2,11,-3746.25
2025,2,12,0.0
2025,2,13,-1001.25
2025,2,14,-607.5
