,Date,PNL,% Change,open %change,low %change,high %change
0,01-NOV-2023,-562.5,1.88,,,
1,01-NOV-2023,-585.0,1.88,,,
2,01-NOV-2023,-453.75,1.88,,,
3,01-NOV-2023,-821.25,1.88,,,
4,01-NOV-2023,3922.5,1.88,,,
5,02-NOV-2023,-487.5,-8.07,1.8816067653276969,1.8816067653276969,-1.247357293868929
6,02-NOV-2023,-877.5,-8.07,1.8816067653276969,1.8816067653276969,-1.247357293868929
7,02-NOV-2023,2865.0,-8.07,1.8816067653276969,1.8816067653276969,-1.247357293868929
8,07-NOV-2023,-566.25,0.79,2.044566965311281,6.662072134160346,-1.6080863772111087
9,15-NOV-2023,-472.5,-0.47,-1.4100022031284436,6.036571932143648,-3.9215686274509833
10,15-NOV-2023,1972.5,-0.47,-1.4100022031284436,6.036571932143648,-3.9215686274509833
11,16-NOV-2023,1500.0,4.6,-0.4692737430167616,24.491620111731844,-2.525139664804475
12,17-NOV-2023,1500.0,1.55,4.602604400538851,9.250112258643926,-1.4369106421194286
13,20-NOV-2023,1500.0,2.71,1.5453960077269775,14.058810903627398,-2.2537025112685063
14,21-NOV-2023,-547.5,0.7,2.705559078418941,8.01099133375609,-4.417670682730916
15,21-NOV-2023,-607.5,0.7,2.705559078418941,8.01099133375609,-4.417670682730916
16,21-NOV-2023,-480.0,0.7,2.705559078418941,8.01099133375609,-4.417670682730916
17,21-NOV-2023,3135.0,0.7,2.705559078418941,8.01099133375609,-4.417670682730916
18,22-NOV-2023,-555.0,-3.0,0.6997324552376956,12.162996501337716,-1.66700967277218
19,22-NOV-2023,-498.75,-3.0,0.6997324552376956,12.162996501337716,-1.66700967277218
20,22-NOV-2023,-753.75,-3.0,0.6997324552376956,12.162996501337716,-1.66700967277218
21,22-NOV-2023,-506.25,-3.0,0.6997324552376956,12.162996501337716,-1.66700967277218
22,22-NOV-2023,3813.75,-3.0,0.6997324552376956,12.162996501337716,-1.66700967277218
23,23-NOV-2023,1500.0,-4.64,-3.00429184549356,6.887390149192719,-6.887390149192719
24,24-NOV-2023,1500.0,0.13,-4.635482511588712,2.865571007163926,-6.953223767383069
25,28-NOV-2023,-495.0,7.46,0.1325673884224531,23.44233318603624,-1.193106495802031
26,28-NOV-2023,-645.0,7.46,0.1325673884224531,23.44233318603624,-1.193106495802031
27,28-NOV-2023,2640.0,7.46,0.1325673884224531,23.44233318603624,-1.193106495802031
28,29-NOV-2023,1500.0,4.37,7.458075904677852,9.79699911738748,-2.802294792586046
29,30-NOV-2023,-731.25,-0.14,4.373716632443522,11.293634496919918,-14.394250513347032
30,30-NOV-2023,-491.25,-0.14,4.373716632443522,11.293634496919918,-14.394250513347032
31,30-NOV-2023,-480.0,-0.14,4.373716632443522,11.293634496919918,-14.394250513347032
32,30-NOV-2023,-483.75,-0.14,4.373716632443522,11.293634496919918,-14.394250513347032
33,30-NOV-2023,3686.25,-0.14,4.373716632443522,11.293634496919918,-14.394250513347032
34,01-DEC-2023,1500.0,-2.42,-0.137713948455637,7.298839268148733,-5.213456620106234
35,04-DEC-2023,-1350.0,4.93,-2.423167848699757,4.767533490937749,-2.9353821907013438
36,04-DEC-2023,-922.5,4.93,-2.423167848699757,4.767533490937749,-2.9353821907013438
37,04-DEC-2023,-506.25,4.93,-2.423167848699757,4.767533490937749,-2.9353821907013438
38,04-DEC-2023,-506.25,4.93,-2.423167848699757,4.767533490937749,-2.9353821907013438
39,04-DEC-2023,4785.0,4.93,-2.423167848699757,4.767533490937749,-2.9353821907013438
40,05-DEC-2023,-825.0,3.58,4.926307288512008,13.34544720371492,-1.3527155259438757
41,05-DEC-2023,2325.0,3.58,4.926307288512008,13.34544720371492,-1.3527155259438757
42,06-DEC-2023,1500.0,2.1,3.578987877621704,15.258803155666731,-3.2711179526650045
43,07-DEC-2023,-468.75,-7.77,2.099201188928112,7.820917703882594,-2.5822032323982924
44,07-DEC-2023,-757.5,-7.77,2.099201188928112,7.820917703882594,-2.5822032323982924
45,07-DEC-2023,-956.25,-7.77,2.099201188928112,7.820917703882594,-2.5822032323982924
46,07-DEC-2023,-678.75,-7.77,2.099201188928112,7.820917703882594,-2.5822032323982924
47,07-DEC-2023,-720.0,-7.77,2.099201188928112,7.820917703882594,-2.5822032323982924
48,07-DEC-2023,-168.75,-7.77,2.099201188928112,7.820917703882594,-2.5822032323982924
49,08-DEC-2023,-581.25,-1.6,-7.769286754002917,0.9279475982532716,-7.769286754002917
50,08-DEC-2023,-543.75,-1.6,-7.769286754002917,0.9279475982532716,-7.769286754002917
51,08-DEC-2023,2625.0,-1.6,-7.769286754002917,0.9279475982532716,-7.769286754002917
52,11-DEC-2023,-663.75,2.31,-1.597948313276771,2.6435194318406063,-3.195896626553556
53,11-DEC-2023,-1496.25,2.31,-1.597948313276771,2.6435194318406063,-3.195896626553556
54,11-DEC-2023,-607.5,2.31,-1.597948313276771,2.6435194318406063,-3.195896626553556
55,11-DEC-2023,-637.5,2.31,-1.597948313276771,2.6435194318406063,-3.195896626553556
56,11-DEC-2023,105.0,2.31,-1.597948313276771,2.6435194318406063,-3.195896626553556
57,11-DEC-2023,-450.0,2.31,-1.597948313276771,2.6435194318406063,-3.195896626553556
58,12-DEC-2023,-468.75,-0.35,2.305533279871689,4.25020048115478,-2.9270248596631934
59,12-DEC-2023,-450.0,-0.35,2.305533279871689,4.25020048115478,-2.9270248596631934
60,12-DEC-2023,-506.25,-0.35,2.305533279871689,4.25020048115478,-2.9270248596631934
61,12-DEC-2023,2925.0,-0.35,2.305533279871689,4.25020048115478,-2.9270248596631934
62,13-DEC-2023,-645.0,-5.09,-0.3527336860670188,7.99529688418577,-1.2149715853419507
63,13-DEC-2023,-491.25,-5.09,-0.3527336860670188,7.99529688418577,-1.2149715853419507
64,13-DEC-2023,2636.25,-5.09,-0.3527336860670188,7.99529688418577,-1.2149715853419507
65,14-DEC-2023,-506.25,2.11,-5.09341199606687,4.129793510324486,-5.91937069813177
66,14-DEC-2023,2006.25,2.11,-5.09341199606687,4.129793510324486,-5.91937069813177
67,15-DEC-2023,-461.25,6.55,2.1135515955242505,10.940737670949028,-1.595524243680058
68,15-DEC-2023,-472.5,6.55,2.1135515955242505,10.940737670949028,-1.595524243680058
69,15-DEC-2023,-487.5,6.55,2.1135515955242505,10.940737670949028,-1.595524243680058
70,15-DEC-2023,-866.25,6.55,2.1135515955242505,10.940737670949028,-1.595524243680058
71,15-DEC-2023,-701.25,6.55,2.1135515955242505,10.940737670949028,-1.595524243680058
72,15-DEC-2023,4488.75,6.55,2.1135515955242505,10.940737670949028,-1.595524243680058
73,18-DEC-2023,1500.0,5.88,6.55438311688311,18.89204545454545,-1.745129870129869
74,19-DEC-2023,-566.25,-0.23,5.884593410778906,5.903637402399546,-1.656827270995996
