,P/L,Close,% Change,Trade,open %change,Open,low %change
0,-508.0,12.47,-1.6,0,,12.6725,
2,-149.5,12.7125,-0.35,0,-0.6707437364371739,12.7575,-5.129789864029671
4,-478.0,12.065,-5.09,0,0.3527336860670188,12.7125,-8.72354073123797
6,265.5,12.32,2.11,0,5.09341199606687,12.065,-4.549393414211441
8,-442.0,13.1275,6.55,0,-2.1135515955242505,12.32,-12.000000000000002
11,-196.5,13.9,5.88,0,-6.55438311688311,13.1275,-21.550925925925913
13,3500.0,14.45,4.2,1,-5.637021519710533,13.8675,-5.657142857142855
15,1357.5,13.7575,-4.79,1,-4.2004687218316175,14.45,-13.089414987282327
18,-1160.5,13.7075,-0.36,0,4.792387543252588,13.7575,-12.008955831467532
21,-421.5,14.6775,7.08,0,0.3634381246592819,13.7075,-12.12678936605317
23,-622.5,15.14,-2.68,0,-13.496261170891847,15.5575,-13.496261170891847
25,-384.5,14.68,1.22,0,6.78129519524345,14.5025,3.074352548036764
27,-242.5,14.58,-0.68,0,-1.2239269091535956,14.68,-2.4603036119350836
29,-213.0,13.33,-5.44,0,3.967983651226155,14.0975,1.0180796910654701
31,-682.0,12.63,-5.25,0,5.444227699946799,13.33,-0.889309366130556
33,760.0,13.4625,6.59,1,5.2513128282070465,12.63,-1.1411411411411416
35,670.5,13.2625,-1.49,0,-6.5914489311163855,13.4625,-6.5914489311163855
37,-845.0,12.97,-2.21,0,1.4856081708449476,13.2625,-3.8160469667318897
40,-281.0,12.7675,-1.56,0,2.2054665409990473,12.97,-1.249024199843873
42,2822.0,13.1,2.6,1,1.5612952968388631,12.7675,-1.088677751385584
45,386.0,15.08,11.11,0,-6.305071470530642,13.5725,-9.27938808373591
48,-1129.0,14.07,-6.7,0,-11.107017867010502,15.08,-18.60007864726701
51,-750.0,13.8775,-1.37,0,6.6976127320954895,14.07,-8.397534668721109
53,3500.0,14.8525,7.61,1,1.9012082444918272,13.8025,-0.9139097057210747
55,1801.0,14.375,-3.21,1,-7.607317514942938,14.8525,-21.791717917179163
57,-750.0,13.865,-3.55,0,3.214946978623122,14.375,-2.459016393442628
59,1207.0,15.68,13.09,1,3.5478260869565204,13.865,-3.7799401197604854
61,142.0,16.0475,-0.34,0,-16.13775694194013,16.1025,-16.72707502718376
63,-727.0,14.455,-9.92,0,0.3415618692749556,16.0475,-1.5664556962025233
65,3500.0,14.6975,1.68,1,9.923664122137401,14.455,-0.6615598885793916
67,-473.5,15.6175,6.26,0,-1.67762020062262,14.6975,-4.795008912655967
70,574.5,15.8275,2.08,0,-5.494131655043382,15.505,-5.494131655043382
72,-650.5,15.4475,-2.4,0,-2.0799742018703626,15.8275,-3.8379530916844407
74,88.0,16.0625,3.98,0,2.4008845364081552,15.4475,-1.1955453652145378
76,62.0,15.435,-2.36,0,-2.3304741867616086,15.8075,-2.3304741867616086
78,-1369.0,15.2225,-0.02,0,3.684959671042224,15.225,0.7496740547588019
81,31.0,16.0725,0.34,0,-5.205254515599334,16.0175,-7.481966113068267
83,-406.0,15.1975,-4.58,0,0.5618854378023918,15.9275,-12.066842568161828
86,-750.0,14.9725,-1.48,0,4.583267932820596,15.1975,-0.4295390715347729
88,-712.0,15.6,4.19,0,1.4805066622799778,14.9725,-0.8928571428571447
91,471.0,16.33,3.83,0,-5.0425780597762495,15.7275,-14.319462111575495
93,3500.0,15.235,-2.17,1,0.9855348911142863,15.5725,-1.7145656433703416
95,1038.5,14.295,-0.59,1,7.657729972708294,14.38,4.133333333333328
97,-510.5,13.995,2.81,0,5.337273991655077,13.6125,2.103559870550152
99,-265.5,13.6375,-2.55,0,-2.8099173553718897,13.995,-2.8099173553718897
101,1956.0,14.4325,5.83,1,2.554483744194355,13.6375,-0.44190756766708683
103,-473.0,13.6225,-5.61,0,-5.829514207149404,14.4325,-6.650655828560861
105,-1391.5,13.69,0.5,0,5.61233327559327,13.6225,-0.739508227029023
108,-416.5,13.895,1.5,0,-0.4955037621581868,13.69,-0.735835172921263
110,-187.0,14.1125,1.57,0,-1.4974433893352819,13.895,-1.4974433893352819
112,-381.0,13.4725,-4.53,0,-1.5653112630442687,14.1125,-1.7117117117117169
114,-621.0,12.5125,-7.13,0,4.5349867139061155,13.4725,-2.9614061902942246
116,-934.5,12.22,-2.34,0,7.125626275746898,12.5125,-1.3773546688272225
119,-515.5,12.82,4.91,0,2.337662337662327,12.22,-3.471634208298054
121,-470.5,12.7025,-0.92,0,-4.909983633387886,12.82,-6.081919735208931
123,3500.0,12.8325,1.02,1,0.9165366614664563,12.7025,-1.356473169758627
125,-284.5,11.3725,-2.4,0,8.266089352489672,11.6525,4.955138662316476
127,-310.0,11.22,-1.34,0,2.402917828792099,11.3725,-0.530386740331496
129,-727.5,11.3375,1.05,0,1.3409540558364463,11.22,-3.3149171270718343
