date,symbol,marketcapname,sector
14-08-2024,ABB,Largecap,FMCG
14-08-2024,LAURUSLABS,Largecap,Pharmaceuticals
14-08-2024,BAJFINANCE,Largecap,Finance
14-08-2024,BEL,Largecap,Aerospace & Defence
14-08-2024,CESC,Largecap,Miscellaneous
14-08-2024,CHAMBLFERT,Largecap,Industrials
14-08-2024,EXIDEIND,Largecap,Auto
14-08-2024,CIPLA,Largecap,Pharmaceuticals
14-08-2024,CGPOWER,Largecap,FMCG
14-08-2024,DABUR,Largecap,FMCG
14-08-2024,BHEL,Largecap,FMCG
14-08-2024,HINDPETRO,Largecap,Industrials
14-08-2024,SBIN,Largecap,Bank
14-08-2024,SAIL,Largecap,Metals
14-08-2024,TITAN,Largecap,Miscellaneous
14-08-2024,DRREDDY,Largecap,Pharmaceuticals
14-08-2024,HDFCBANK,Largecap,Bank
14-08-2024,HEROMOTOCO,Largecap,Auto
14-08-2024,HFCL,Midcap,Telecom
14-08-2024,HINDZINC,Largecap,Metals
14-08-2024,INFY,Largecap,I.T
14-08-2024,JSWSTEEL,Largecap,Metals
14-08-2024,KOTAKBANK,Largecap,Bank
14-08-2024,TRENT,Largecap,FMCG
14-08-2024,LICHSGFIN,Largecap,Finance
14-08-2024,LUPIN,Largecap,Pharmaceuticals
14-08-2024,RAMCOCEM,Largecap,Industrials
14-08-2024,MFSL,Largecap,Finance
14-08-2024,MRF,Largecap,Auto
14-08-2024,NCC,Midcap,Realty
14-08-2024,VEDL,Largecap,Industrials
14-08-2024,GRASIM,Largecap,Textiles
14-08-2024,PEL,Largecap,Finance
14-08-2024,ONGC,Largecap,Oils
14-08-2024,RELIANCE,Largecap,Industrials
14-08-2024,PIDILITIND,Largecap,Industrials
14-08-2024,PATANJALI,Largecap,FMCG
14-08-2024,SHREECEM,Largecap,Industrials
14-08-2024,TATAPOWER,Largecap,Miscellaneous
14-08-2024,TATAELXSI,Largecap,I.T
14-08-2024,ACC,Largecap,Industrials
14-08-2024,TORNTPHARM,Largecap,Pharmaceuticals
14-08-2024,AMBUJACEM,Largecap,Industrials
14-08-2024,HINDALCO,Largecap,Metals
14-08-2024,FEDERALBNK,Largecap,Bank
14-08-2024,TATASTEEL,Largecap,Metals
14-08-2024,ASHOKLEY,Largecap,Auto
14-08-2024,CUMMINSIND,Largecap,FMCG
14-08-2024,TATACOMM,Largecap,Telecom
14-08-2024,BHARATFORG,Largecap,Industrials
14-08-2024,ESCORTS,Largecap,Auto
14-08-2024,LT,Largecap,Realty
14-08-2024,M&M,Largecap,Auto
14-08-2024,BOSCHLTD,Largecap,Auto
14-08-2024,BPCL,Largecap,Industrials
14-08-2024,SIEMENS,Largecap,FMCG
14-08-2024,TATAMOTORS,Largecap,Auto
14-08-2024,VOLTAS,Largecap,FMCG
14-08-2024,HINDUNILVR,Largecap,FMCG
14-08-2024,TATACHEM,Largecap,Industrials
14-08-2024,NESTLEIND,Largecap,FMCG
14-08-2024,TATACONSUM,Largecap,FMCG
14-08-2024,ASIANPAINT,Largecap,Industrials
14-08-2024,BRITANNIA,Largecap,FMCG
14-08-2024,COLPAL,Largecap,FMCG
14-08-2024,INDHOTEL,Largecap,Services
14-08-2024,ITC,Largecap,FMCG
14-08-2024,APOLLOTYRE,Largecap,Auto
14-08-2024,BALKRISIND,Largecap,Auto
14-08-2024,PHOENIXLTD,Largecap,Realty
14-08-2024,SRF,Largecap,Industrials
14-08-2024,EICHERMOT,Largecap,Auto
14-08-2024,DEEPAKNTR,Largecap,Industrials
14-08-2024,WIPRO,Largecap,I.T
14-08-2024,APOLLOHOSP,Largecap,Pharmaceuticals
14-08-2024,BERGEPAINT,Largecap,Industrials
14-08-2024,SUPREMEIND,Largecap,FMCG
14-08-2024,SHRIRAMFIN,Largecap,Finance
14-08-2024,CHOLAFIN,Largecap,Finance
14-08-2024,UPL,Largecap,Industrials
14-08-2024,ADANIENT,Largecap,Services
14-08-2024,LICI,Largecap,Services
14-08-2024,DELHIVERY,Midcap,Services
14-08-2024,HINDCOPPER,Largecap,Metals
14-08-2024,MOTHERSON,Largecap,Auto
