,Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
48,21.0,2024-01-17,9:16:00,2024-01-17,15:15:00,,,,,,,13.68,386.0,13.5725,15.23,12.715,15.08,13.5725,1.51,11.11
62,27.0,2024-01-29,9:16:00,2024-01-29,15:15:00,,,,,,,14.84,1207.0,13.865,15.8475,13.795,15.68,13.865,1.81,13.09
164,74.0,2024-05-13,9:16:00,2024-05-13,15:15:00,,,,,,,20.24,-231.5,18.4725,21.485,18.4725,20.6,18.4725,2.13,11.52
185,84.0,2024-06-03,9:16:00,2024-06-03,15:15:00,,,,,,,20.41,405.0,24.6025,24.6025,19.115,20.9375,24.6025,-3.66,-14.9
187,85.0,2024-06-04,9:16:00,2024-06-04,15:15:00,,,,,,,19.23,3500.0,20.9375,31.71,18.8025,26.7475,20.9375,5.81,27.75
189,86.0,2024-06-05,9:16:00,2024-06-05,9:28:00,,,,,,,25.05,-1098.5,26.7475,26.925,18.6575,18.885,26.7475,-7.86,-29.4
230,104.0,2024-07-23,9:16:00,2024-07-23,13:59:00,,,,,,,15.78,-1361.5,15.4375,16.065,12.5925,12.7475,15.4375,-2.69,-17.43
239,108.0,2024-08-02,9:16:00,2024-08-02,15:15:00,,,,,,,13.42,-713.5,12.93,14.51,11.6925,14.32,12.93,1.39,10.75
241,109.0,2024-08-05,9:16:00,2024-08-05,15:15:00,,,,,,,15.72,3500.0,14.32,23.1525,13.9075,20.3675,14.32,6.05,42.23
243,110.0,2024-08-07,9:16:00,2024-08-07,15:15:00,,,,,,,15.96,-211.0,18.7425,18.7425,13.7225,16.17,18.7425,-2.57,-13.73
