,Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
6,4.0,2023-12-14,9:16:00,2023-12-14,15:15:00,,,,,,,11.86,265.5,12.065,12.5125,11.0,12.32,12.065,0.26,2.11
7,4.1,2023-12-14,9:17:00,2023-12-14,15:15:00,CE,70600.0,Buy,10.0,90.05,116.6,,265.5,12.065,12.5125,11.0,12.32,12.065,0.26,2.11
8,5.0,2023-12-15,9:16:00,2023-12-15,11:27:00,,,,,,,12.12,-442.0,12.32,13.3425,10.8,13.1275,12.32,0.81,6.55
9,5.1,2023-12-15,10:05:00,2023-12-15,11:27:00,CE,71000.0,Buy,10.0,60.2,91.0,,308.0,12.32,13.3425,10.8,13.1275,12.32,0.81,6.55
10,5.2,2023-12-15,9:25:00,2023-12-15,11:27:00,PE,70700.0,Buy,10.0,94.2,19.2,,-750.0,12.32,13.3425,10.8,13.1275,12.32,0.81,6.55
11,6.0,2023-12-18,9:16:00,2023-12-18,15:15:00,,,,,,,13.52,-196.5,13.1275,14.1175,13.125,13.9,13.1275,0.77,5.88
12,6.1,2023-12-18,9:25:00,2023-12-18,15:15:00,CE,73000.0,Buy,10.0,78.9,59.25,,-196.5,13.1275,14.1175,13.125,13.9,13.1275,0.77,5.88
13,7.0,2023-12-20,9:16:00,2023-12-20,15:15:00,,,,,,,14.02,3500.0,13.8675,14.87,12.7775,14.45,13.8675,0.58,4.2
14,7.1,2023-12-20,13:25:00,2023-12-20,15:14:00,PE,70800.0,Buy,10.0,80.7,430.7,,3500.0,13.8675,14.87,12.7775,14.45,13.8675,0.58,4.2
24,10.0,2023-12-26,9:16:00,2023-12-26,15:15:00,,,,,,,14.42,-421.5,13.7075,14.95,13.7075,14.6775,13.7075,0.97,7.08
25,10.1,2023-12-26,9:18:00,2023-12-26,15:15:00,CE,72800.0,Buy,10.0,87.95,45.8,,-421.5,13.7075,14.95,13.7075,14.6775,13.7075,0.97,7.08
28,12.0,2024-01-01,9:16:00,2024-01-01,15:15:00,,,,,,,14.83,-384.5,14.5025,14.8675,14.3275,14.68,14.5025,0.18,1.22
