Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
1.0,2023-12-08,9:16:00,2023-12-08,15:15:00,,,,,,,12.6,-508.0,12.6725,12.875,12.135,12.47,12.6725,-0.2,-1.6
1.1,2023-12-08,9:25:00,2023-12-08,15:15:00,CE,69800.0,Buy,10.0,74.3,23.5,,-508.0,12.6725,12.875,12.135,12.47,12.6725,-0.2,-1.6
2.0,2023-12-12,9:16:00,2023-12-12,15:15:00,,,,,,,12.75,-149.5,12.7575,12.8675,11.6925,12.7125,12.7575,-0.04,-0.35
2.1,2023-12-12,14:45:00,2023-12-12,15:15:00,PE,68900.0,Buy,10.0,74.95,60.0,,-149.5,12.7575,12.8675,11.6925,12.7125,12.7575,-0.04,-0.35
3.0,2023-12-13,9:16:00,2023-12-13,15:15:00,,,,,,,12.62,-478.0,12.7125,12.8175,11.54,12.065,12.7125,-0.65,-5.09
3.1,2023-12-13,9:59:00,2023-12-13,15:15:00,PE,68900.0,Buy,10.0,79.3,31.5,,-478.0,12.7125,12.8175,11.54,12.065,12.7125,-0.65,-5.09
4.0,2023-12-14,9:16:00,2023-12-14,15:15:00,,,,,,,11.86,265.5,12.065,12.5125,11.0,12.32,12.065,0.26,2.11
4.1,2023-12-14,9:17:00,2023-12-14,15:15:00,CE,70600.0,Buy,10.0,90.05,116.6,,265.5,12.065,12.5125,11.0,12.32,12.065,0.26,2.11
5.0,2023-12-15,9:16:00,2023-12-15,11:27:00,,,,,,,12.12,-442.0,12.32,13.3425,10.8,13.1275,12.32,0.81,6.55
5.1,2023-12-15,10:05:00,2023-12-15,11:27:00,CE,71000.0,Buy,10.0,60.2,91.0,,308.0,12.32,13.3425,10.8,13.1275,12.32,0.81,6.55
5.2,2023-12-15,9:25:00,2023-12-15,11:27:00,PE,70700.0,Buy,10.0,94.2,19.2,,-750.0,12.32,13.3425,10.8,13.1275,12.32,0.81,6.55
6.0,2023-12-18,9:16:00,2023-12-18,15:15:00,,,,,,,13.52,-196.5,13.1275,14.1175,13.125,13.9,13.1275,0.77,5.88
6.1,2023-12-18,9:25:00,2023-12-18,15:15:00,CE,73000.0,Buy,10.0,78.9,59.25,,-196.5,13.1275,14.1175,13.125,13.9,13.1275,0.77,5.88
7.0,2023-12-20,9:16:00,2023-12-20,15:15:00,,,,,,,14.02,3500.0,13.8675,14.87,12.7775,14.45,13.8675,0.58,4.2
7.1,2023-12-20,13:25:00,2023-12-20,15:14:00,PE,70800.0,Buy,10.0,80.7,430.7,,3500.0,13.8675,14.87,12.7775,14.45,13.8675,0.58,4.2
8.0,2023-12-21,9:16:00,2023-12-21,15:15:00,,,,,,,14.55,1357.5,14.45,15.01,12.2825,13.7575,14.45,-0.69,-4.79
8.1,2023-12-21,9:19:00,2023-12-21,15:15:00,CE,70900.0,Buy,10.0,79.3,285.5,,2062.0,14.45,15.01,12.2825,13.7575,14.45,-0.69,-4.79
8.2,2023-12-21,9:17:00,2023-12-21,15:15:00,PE,68700.0,Buy,10.0,75.0,4.55,,-704.5,14.45,15.01,12.2825,13.7575,14.45,-0.69,-4.79
9.0,2023-12-22,9:16:00,2023-12-22,14:55:00,,,,,,,13.82,-1160.5,13.7575,13.9875,12.225,13.7075,13.7575,-0.05,-0.36
9.1,2023-12-22,9:18:00,2023-12-22,14:55:00,CE,71200.0,Buy,10.0,75.45,34.4,,-410.5,13.7575,13.9875,12.225,13.7075,13.7575,-0.05,-0.36
9.2,2023-12-22,9:24:00,2023-12-22,14:55:00,PE,70600.0,Buy,10.0,76.5,1.5,,-750.0,13.7575,13.9875,12.225,13.7075,13.7575,-0.05,-0.36
10.0,2023-12-26,9:16:00,2023-12-26,15:15:00,,,,,,,14.42,-421.5,13.7075,14.95,13.7075,14.6775,13.7075,0.97,7.08
10.1,2023-12-26,9:18:00,2023-12-26,15:15:00,CE,72800.0,Buy,10.0,87.95,45.8,,-421.5,13.7075,14.95,13.7075,14.6775,13.7075,0.97,7.08
11.0,2023-12-28,9:16:00,2023-12-28,15:15:00,,,,,,,15.64,-622.5,15.5575,16.47,14.9625,15.14,15.5575,-0.42,-2.68
11.1,2023-12-28,9:22:00,2023-12-28,15:15:00,CE,73300.0,Buy,10.0,70.55,8.3,,-622.5,15.5575,16.47,14.9625,15.14,15.5575,-0.42,-2.68
12.0,2024-01-01,9:16:00,2024-01-01,15:15:00,,,,,,,14.83,-384.5,14.5025,14.8675,14.3275,14.68,14.5025,0.18,1.22
12.1,2024-01-01,14:51:00,2024-01-01,15:15:00,CE,74000.0,Buy,10.0,73.7,35.25,,-384.5,14.5025,14.8675,14.3275,14.68,14.5025,0.18,1.22
13.0,2024-01-02,9:16:00,2024-01-02,15:15:00,,,,,,,14.87,-242.5,14.68,15.08,14.2425,14.58,14.68,-0.1,-0.68
13.1,2024-01-02,10:28:00,2024-01-02,15:15:00,PE,70500.0,Buy,10.0,75.9,51.65,,-242.5,14.68,15.08,14.2425,14.58,14.68,-0.1,-0.68
