date,open,high,low,close,adj close,volume,year,month,hour,day,day_name,minute,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend
2024-09-02,25333.599609375,25333.650390625,25235.5,25278.69921875,25278.69921875,222800,2024,9,0,2,Monday,0,25333.650390625,25235.5,98.150390625,54.900390625,0.05078125,-43.19921875,-98.099609375,0.05078125,UP
2024-09-03,25313.400390625,25321.69921875,25235.80078125,25279.849609375,25279.849609375,212100,2024,9,0,3,Tuesday,0,25321.69921875,25235.80078125,85.8984375,33.55078125,8.298828125,-44.048828125,-77.599609375,8.298828125,UP
2024-09-04,25089.94921875,25216.0,25083.80078125,25198.69921875,25198.69921875,253800,2024,9,0,4,Wednesday,0,25216.0,25083.80078125,132.19921875,-108.75,17.30078125,-6.1484375,-6.1484375,126.05078125,DOWN
2024-09-05,25250.5,25275.44921875,25127.75,25145.099609375,25145.099609375,222200,2024,9,0,5,Thursday,0,25275.44921875,25127.75,147.69921875,105.400390625,24.94921875,-17.349609375,-122.75,24.94921875,UP
2024-09-06,25093.69921875,25168.75,24801.30078125,24852.150390625,24852.150390625,311700,2024,9,0,6,Friday,0,25168.75,24801.30078125,367.44921875,241.548828125,75.05078125,-50.849609375,-292.3984375,75.05078125,UP
2024-09-09,24823.400390625,24957.5,24753.150390625,24936.400390625,24936.400390625,254400,2024,9,0,9,Monday,0,24957.5,24753.150390625,204.349609375,-113.0,21.099609375,-70.25,-70.25,134.099609375,DOWN
2024-09-10,24999.400390625,25130.5,24896.80078125,25041.099609375,25041.099609375,251300,2024,9,0,10,Tuesday,0,25130.5,24896.80078125,233.69921875,-41.69921875,89.400390625,-102.599609375,-102.599609375,131.099609375,DOWN
2024-09-11,25034.0,25113.69921875,24885.150390625,24918.44921875,24918.44921875,279200,2024,9,0,11,Wednesday,0,25113.69921875,24885.150390625,228.548828125,115.55078125,79.69921875,-33.298828125,-148.849609375,79.69921875,UP
2024-09-12,25059.650390625,25433.349609375,24941.44921875,25388.900390625,25388.900390625,380100,2024,9,0,12,Thursday,0,25433.349609375,24941.44921875,491.900390625,-329.25,44.44921875,-118.201171875,-118.201171875,373.69921875,DOWN
2024-09-13,25430.44921875,25430.5,25292.44921875,25356.5,25356.5,250800,2024,9,0,13,Friday,0,25430.5,25292.44921875,138.05078125,73.94921875,0.05078125,-64.05078125,-138.0,0.05078125,UP
2024-09-16,25406.650390625,25445.69921875,25336.19921875,25383.75,25383.75,168700,2024,9,0,16,Monday,0,25445.69921875,25336.19921875,109.5,22.900390625,39.048828125,-47.55078125,-70.451171875,39.048828125,UP
2024-09-17,25416.900390625,25441.650390625,25352.25,25418.55078125,25418.55078125,216000,2024,9,0,17,Tuesday,0,25441.650390625,25352.25,89.400390625,-1.650390625,23.099609375,-64.650390625,-64.650390625,24.75,DOWN
2024-09-18,25402.400390625,25482.19921875,25285.55078125,25377.55078125,25377.55078125,215700,2024,9,0,18,Wednesday,0,25482.19921875,25285.55078125,196.6484375,24.849609375,79.798828125,-92.0,-116.849609375,79.798828125,UP
2024-09-19,25487.05078125,25611.94921875,25376.05078125,25415.80078125,25415.80078125,314500,2024,9,0,19,Thursday,0,25611.94921875,25376.05078125,235.8984375,71.25,124.8984375,-39.75,-111.0,124.8984375,UP
2024-09-20,25525.94921875,25849.25,25426.599609375,25790.94921875,25790.94921875,0,2024,9,0,20,Friday,0,25849.25,25426.599609375,422.650390625,-265.0,58.30078125,-99.349609375,-99.349609375,323.30078125,DOWN
