date,symbol,marketcapname,sector
14-08-2024,BAJFINANCE,Largecap,Finance
14-08-2024,BEL,Largecap,Aerospace & Defence
14-08-2024,CIPLA,Largecap,Pharmaceuticals
14-08-2024,SBIN,Largecap,Bank
14-08-2024,TITAN,Largecap,Miscellaneous
14-08-2024,DRREDDY,Largecap,Pharmaceuticals
14-08-2024,HDFCBANK,Largecap,Bank
14-08-2024,HEROMOTOCO,Largecap,Auto
14-08-2024,INFY,Largecap,I.T
14-08-2024,JSWSTEEL,Largecap,Metals
14-08-2024,KOTAKBANK,Largecap,Bank
14-08-2024,TRENT,Largecap,FMCG
14-08-2024,GRASIM,Largecap,Textiles
14-08-2024,ONGC,Largecap,Oils
14-08-2024,RELIANCE,Largecap,Industrials
14-08-2024,HINDALCO,Largecap,Metals
14-08-2024,TATASTEEL,Largecap,Metals
14-08-2024,LT,Largecap,Realty
14-08-2024,M&M,Largecap,Auto
14-08-2024,TATAMOTORS,Largecap,Auto
14-08-2024,HINDUNILVR,Largecap,FMCG
14-08-2024,NESTLEIND,Largecap,FMCG
14-08-2024,TATACONSUM,Largecap,FMCG
14-08-2024,ASIANPAINT,Largecap,Industrials
14-08-2024,ITC,Largecap,FMCG
14-08-2024,EICHERMOT,Largecap,Auto
14-08-2024,WIPRO,Largecap,I.T
14-08-2024,APOLLOHOSP,Largecap,Pharmaceuticals
14-08-2024,SHRIRAMFIN,Largecap,Finance
14-08-2024,ADANIENT,Largecap,Services
14-08-2024,JIOFIN,Largecap,Finance
14-08-2024,NIFTY,Smallcap,Indices
14-08-2024,SUNPHARMA,Largecap,Pharmaceuticals
14-08-2024,SBILIFE,Largecap,Services
14-08-2024,HDFCLIFE,Largecap,Services
14-08-2024,ICICIBANK,Largecap,Bank
14-08-2024,INDUSINDBK,Largecap,Bank
14-08-2024,AXISBANK,Largecap,Bank
14-08-2024,HCLTECH,Largecap,I.T
14-08-2024,BHARTIARTL,Largecap,Telecom
14-08-2024,MARUTI,Largecap,Auto
14-08-2024,ULTRACEMCO,Largecap,Industrials
